method p l int.effect mode strategy n power
rbf 1 0.5 0.1 AICc exp 100 0.115
rbf 1 0.5 0.1 AICc average 100 0.04
rbf 1 0.5 0.1 AICc erm 100 0.09
rbf 1 0.5 0.1 GCVc exp 100 0.065
rbf 1 0.5 0.1 GCVc average 100 0.08
rbf 1 0.5 0.1 GCVc erm 100 0.065
rbf 1 0.5 0.1 gmpml exp 100 0.035
rbf 1 0.5 0.1 gmpml average 100 0.04
rbf 1 0.5 0.1 gmpml erm 100 0.04
rbf 1 0.5 0.1 loocv exp 100 0.06
rbf 1 0.5 0.1 loocv average 100 0.04
rbf 1 0.5 0.1 loocv erm 100 0.05
rbf 1 0.5 0.2 AICc exp 100 0.1
rbf 1 0.5 0.2 AICc average 100 0.055
rbf 1 0.5 0.2 AICc erm 100 0.065
rbf 1 0.5 0.2 GCVc exp 100 0.07
rbf 1 0.5 0.2 GCVc average 100 0.085
rbf 1 0.5 0.2 GCVc erm 100 0.125
rbf 1 0.5 0.2 gmpml exp 100 0.05
rbf 1 0.5 0.2 gmpml average 100 0.08
rbf 1 0.5 0.2 gmpml erm 100 0.085
rbf 1 0.5 0.2 loocv exp 100 0.075
rbf 1 0.5 0.2 loocv average 100 0.095
rbf 1 0.5 0.2 loocv erm 100 0.055
rbf 1 0.5 0.3 AICc exp 100 0.06
rbf 1 0.5 0.3 AICc average 100 0.09
rbf 1 0.5 0.3 AICc erm 100 0.075
rbf 1 0.5 0.3 GCVc exp 100 0.06
rbf 1 0.5 0.3 GCVc average 100 0.05
rbf 1 0.5 0.3 GCVc erm 100 0.09
rbf 1 0.5 0.3 gmpml exp 100 0.045
rbf 1 0.5 0.3 gmpml average 100 0.075
rbf 1 0.5 0.3 gmpml erm 100 0.105
rbf 1 0.5 0.3 loocv exp 100 0.07
rbf 1 0.5 0.3 loocv average 100 0.055
rbf 1 0.5 0.3 loocv erm 100 0.065
rbf 2 1 0 AICc exp 100 0.025
rbf 2 1 0 AICc average 100 0.035
rbf 2 1 0 AICc erm 100 0.015
rbf 2 1 0 GCVc exp 100 0.025
rbf 2 1 0 GCVc average 100 0.005
rbf 2 1 0 GCVc erm 100 0.025
rbf 2 1 0 gmpml exp 100 0.005
rbf 2 1 0 gmpml average 100 0.005
rbf 2 1 0 gmpml erm 100 0.015
rbf 2 1 0 loocv exp 100 0.005
rbf 2 1 0 loocv average 100 0.01
rbf 2 1 0 loocv erm 100 0.02
rbf 2 1 0.1 AICc exp 100 0.545
rbf 2 1 0.1 AICc average 100 0.54
rbf 2 1 0.1 AICc erm 100 0.69
rbf 2 1 0.1 GCVc exp 100 0.49
rbf 2 1 0.1 GCVc average 100 0.54
rbf 2 1 0.1 GCVc erm 100 0.555
rbf 2 1 0.1 gmpml exp 100 0.305
rbf 2 1 0.1 gmpml average 100 0.3
rbf 2 1 0.1 gmpml erm 100 0.585
rbf 2 1 0.1 loocv exp 100 0.375
rbf 2 1 0.1 loocv average 100 0.42
rbf 2 1 0.1 loocv erm 100 0.495
rbf 2 1 0.2 AICc exp 100 0.755
rbf 2 1 0.2 AICc average 100 0.72
rbf 2 1 0.2 AICc erm 100 0.71
rbf 2 1 0.2 GCVc exp 100 0.71
rbf 2 1 0.2 GCVc average 100 0.7
rbf 2 1 0.2 GCVc erm 100 0.72
rbf 2 1 0.2 gmpml exp 100 0.635
rbf 2 1 0.2 gmpml average 100 0.61
rbf 2 1 0.2 gmpml erm 100 0.71
rbf 2 1 0.2 loocv exp 100 0.715
rbf 2 1 0.2 loocv average 100 0.715
rbf 2 1 0.2 loocv erm 100 0.675
rbf 2 1 0.3 AICc exp 100 0.765
rbf 2 1 0.3 AICc average 100 0.815
rbf 2 1 0.3 AICc erm 100 0.705
rbf 2 1 0.3 GCVc exp 100 0.785
rbf 2 1 0.3 GCVc average 100 0.775
rbf 2 1 0.3 GCVc erm 100 0.765
rbf 2 1 0.3 gmpml exp 100 0.66
rbf 2 1 0.3 gmpml average 100 0.665
rbf 2 1 0.3 gmpml erm 100 0.73
rbf 2 1 0.3 loocv exp 100 0.72
rbf 2 1 0.3 loocv average 100 0.81
rbf 2 1 0.3 loocv erm 100 0.77
rbf 3 1.5 0 AICc exp 100 0.035
rbf 3 1.5 0 AICc average 100 0.04
rbf 3 1.5 0 AICc erm 100 0.03
rbf 3 1.5 0 GCVc exp 100 0.005
rbf 3 1.5 0 GCVc average 100 0.015
rbf 3 1.5 0 GCVc erm 100 0.02
rbf 3 1.5 0 gmpml exp 100 0
rbf 3 1.5 0 gmpml average 100 0
rbf 3 1.5 0 gmpml erm 100 0.035
rbf 3 1.5 0 loocv exp 100 0
rbf 3 1.5 0 loocv average 100 0.02
rbf 3 1.5 0 loocv erm 100 0.015
rbf 3 1.5 0.1 AICc exp 100 0.835
rbf 3 1.5 0.1 AICc average 100 0.81
rbf 3 1.5 0.1 AICc erm 100 0.79
rbf 3 1.5 0.1 GCVc exp 100 0.65
rbf 3 1.5 0.1 GCVc average 100 0.67
rbf 3 1.5 0.1 GCVc erm 100 0.775
rbf 3 1.5 0.1 gmpml exp 100 0.415
rbf 3 1.5 0.1 gmpml average 100 0.46
rbf 3 1.5 0.1 gmpml erm 100 0.72
rbf 3 1.5 0.1 loocv exp 100 0.565
rbf 3 1.5 0.1 loocv average 100 0.55
rbf 3 1.5 0.1 loocv erm 100 0.685
rbf 3 1.5 0.2 AICc exp 100 0.91
rbf 3 1.5 0.2 AICc average 100 0.915
rbf 3 1.5 0.2 AICc erm 100 0.925
rbf 3 1.5 0.2 GCVc exp 100 0.885
rbf 3 1.5 0.2 GCVc average 100 0.86
rbf 3 1.5 0.2 GCVc erm 100 0.865
rbf 3 1.5 0.2 gmpml exp 100 0.775
rbf 3 1.5 0.2 gmpml average 100 0.725
rbf 3 1.5 0.2 gmpml erm 100 0.875
rbf 3 1.5 0.2 loocv exp 100 0.84
rbf 3 1.5 0.2 loocv average 100 0.81
rbf 3 1.5 0.2 loocv erm 100 0.855
rbf 3 1.5 0.3 AICc exp 100 0.875
rbf 3 1.5 0.3 AICc average 100 0.915
rbf 3 1.5 0.3 AICc erm 100 0.925
rbf 3 1.5 0.3 GCVc exp 100 0.91
rbf 3 1.5 0.3 GCVc average 100 0.91
rbf 3 1.5 0.3 GCVc erm 100 0.905
rbf 3 1.5 0.3 gmpml exp 100 0.805
rbf 3 1.5 0.3 gmpml average 100 0.835
rbf 3 1.5 0.3 gmpml erm 100 0.85
rbf 3 1.5 0.3 loocv exp 100 0.9
rbf 3 1.5 0.3 loocv average 100 0.92
rbf 3 1.5 0.3 loocv erm 100 0.96
matern_1.5 1 0.5 0 AICc exp 100 0.04
matern_1.5 1 0.5 0 AICc average 100 0.085
matern_1.5 1 0.5 0 AICc erm 100 0.075
matern_1.5 1 0.5 0 GCVc exp 100 0.02
matern_1.5 1 0.5 0 GCVc average 100 0.025
matern_1.5 1 0.5 0 GCVc erm 100 0.025
matern_1.5 1 0.5 0 gmpml exp 100 0
matern_1.5 1 0.5 0 gmpml average 100 0.01
matern_1.5 1 0.5 0 gmpml erm 100 0
matern_1.5 1 0.5 0 loocv exp 100 0.02
matern_1.5 1 0.5 0 loocv average 100 0
matern_1.5 1 0.5 0 loocv erm 100 0.02
matern_1.5 1 0.5 0.1 AICc exp 100 0.045
matern_1.5 1 0.5 0.1 AICc average 100 0.03
matern_1.5 1 0.5 0.1 AICc erm 100 0.025
matern_1.5 1 0.5 0.1 GCVc exp 100 0.02
matern_1.5 1 0.5 0.1 GCVc average 100 0.02
matern_1.5 1 0.5 0.1 GCVc erm 100 0.03
matern_1.5 1 0.5 0.1 gmpml exp 100 0.015
matern_1.5 1 0.5 0.1 gmpml average 100 0.01
matern_1.5 1 0.5 0.1 gmpml erm 100 0.005
matern_1.5 1 0.5 0.1 loocv exp 100 0.005
matern_1.5 1 0.5 0.1 loocv average 100 0.01
matern_1.5 1 0.5 0.1 loocv erm 100 0.025
matern_1.5 1 0.5 0.2 AICc exp 100 0.025
matern_1.5 1 0.5 0.2 AICc average 100 0.01
matern_1.5 1 0.5 0.2 AICc erm 100 0.02
matern_1.5 1 0.5 0.2 GCVc exp 100 0.02
matern_1.5 1 0.5 0.2 GCVc average 100 0.045
matern_1.5 1 0.5 0.2 GCVc erm 100 0.015
matern_1.5 1 0.5 0.2 gmpml exp 100 0.03
matern_1.5 1 0.5 0.2 gmpml average 100 0.005
matern_1.5 1 0.5 0.2 gmpml erm 100 0.02
matern_1.5 1 0.5 0.2 loocv exp 100 0.015
matern_1.5 1 0.5 0.2 loocv average 100 0.005
matern_1.5 1 0.5 0.2 loocv erm 100 0.02
matern_1.5 1 0.5 0.3 AICc exp 100 0.02
matern_1.5 1 0.5 0.3 AICc average 100 0.01
matern_1.5 1 0.5 0.3 AICc erm 100 0
matern_1.5 1 0.5 0.3 GCVc exp 100 0.01
matern_1.5 1 0.5 0.3 GCVc average 100 0.025
matern_1.5 1 0.5 0.3 GCVc erm 100 0.015
matern_1.5 1 0.5 0.3 gmpml exp 100 0.025
matern_1.5 1 0.5 0.3 gmpml average 100 0.02
matern_1.5 1 0.5 0.3 gmpml erm 100 0.02
matern_1.5 1 0.5 0.3 loocv exp 100 0.005
matern_1.5 1 0.5 0.3 loocv average 100 0.005
matern_1.5 1 0.5 0.3 loocv erm 100 0.015
matern_1.5 1 1 0 AICc exp 100 0.04
matern_1.5 1 1 0 AICc average 100 0.045
matern_1.5 1 1 0 AICc erm 100 0.045
matern_1.5 1 1 0 GCVc exp 100 0.015
matern_1.5 1 1 0 GCVc average 100 0.01
matern_1.5 1 1 0 GCVc erm 100 0
matern_1.5 1 1 0 gmpml exp 100 0.005
matern_1.5 1 1 0 gmpml average 100 0
matern_1.5 1 1 0 gmpml erm 100 0.015
matern_1.5 1 1 0 loocv exp 100 0
matern_1.5 1 1 0 loocv average 100 0.015
matern_1.5 1 1 0 loocv erm 100 0.005
matern_1.5 1 1 0.1 AICc exp 100 0.285
matern_1.5 1 1 0.1 AICc average 100 0.255
matern_1.5 1 1 0.1 AICc erm 100 0.3
matern_1.5 1 1 0.1 GCVc exp 100 0.275
matern_1.5 1 1 0.1 GCVc average 100 0.405
matern_1.5 1 1 0.1 GCVc erm 100 0.35
matern_1.5 1 1 0.1 gmpml exp 100 0.215
matern_1.5 1 1 0.1 gmpml average 100 0.215
matern_1.5 1 1 0.1 gmpml erm 100 0.305
matern_1.5 1 1 0.1 loocv exp 100 0.32
matern_1.5 1 1 0.1 loocv average 100 0.24
matern_1.5 1 1 0.1 loocv erm 100 0.335
matern_1.5 1 1 0.2 AICc exp 100 0.445
matern_1.5 1 1 0.2 AICc average 100 0.45
matern_1.5 1 1 0.2 AICc erm 100 0.345
matern_1.5 1 1 0.2 GCVc exp 100 0.475
matern_1.5 1 1 0.2 GCVc average 100 0.435
matern_1.5 1 1 0.2 GCVc erm 100 0.46
matern_1.5 1 1 0.2 gmpml exp 100 0.435
matern_1.5 1 1 0.2 gmpml average 100 0.375
matern_1.5 1 1 0.2 gmpml erm 100 0.46
matern_1.5 1 1 0.2 loocv exp 100 0.505
matern_1.5 1 1 0.2 loocv average 100 0.47
matern_1.5 1 1 0.2 loocv erm 100 0.415
matern_1.5 1 1 0.3 AICc exp 100 0.42
matern_1.5 1 1 0.3 AICc average 100 0.405
matern_1.5 1 1 0.3 AICc erm 100 0.39
matern_1.5 1 1 0.3 GCVc exp 100 0.405
matern_1.5 1 1 0.3 GCVc average 100 0.535
matern_1.5 1 1 0.3 GCVc erm 100 0.42
matern_1.5 1 1 0.3 gmpml exp 100 0.495
matern_1.5 1 1 0.3 gmpml average 100 0.445
matern_1.5 1 1 0.3 gmpml erm 100 0.495
matern_1.5 1 1 0.3 loocv exp 100 0.465
matern_1.5 1 1 0.3 loocv average 100 0.435
matern_1.5 1 1 0.3 loocv erm 100 0.42
matern_1.5 1 1.5 0 AICc exp 100 0.04
matern_1.5 1 1.5 0 AICc average 100 0.015
matern_1.5 1 1.5 0 AICc erm 100 0.05
matern_1.5 1 1.5 0 GCVc exp 100 0.015
matern_1.5 1 1.5 0 GCVc average 100 0.005
matern_1.5 1 1.5 0 GCVc erm 100 0.015
matern_1.5 1 1.5 0 gmpml exp 100 0.005
matern_1.5 1 1.5 0 gmpml average 100 0.005
matern_1.5 1 1.5 0 gmpml erm 100 0.03
matern_1.5 1 1.5 0 loocv exp 100 0.015
matern_1.5 1 1.5 0 loocv average 100 0.005
matern_1.5 1 1.5 0 loocv erm 100 0.02
matern_1.5 1 1.5 0.1 AICc exp 100 0.66
matern_1.5 1 1.5 0.1 AICc average 100 0.69
matern_1.5 1 1.5 0.1 AICc erm 100 0.705
matern_1.5 1 1.5 0.1 GCVc exp 100 0.595
matern_1.5 1 1.5 0.1 GCVc average 100 0.605
matern_1.5 1 1.5 0.1 GCVc erm 100 0.615
matern_1.5 1 1.5 0.1 gmpml exp 100 0.42
matern_1.5 1 1.5 0.1 gmpml average 100 0.375
matern_1.5 1 1.5 0.1 gmpml erm 100 0.655
matern_1.5 1 1.5 0.1 loocv exp 100 0.48
matern_1.5 1 1.5 0.1 loocv average 100 0.54
matern_1.5 1 1.5 0.1 loocv erm 100 0.595
matern_1.5 1 1.5 0.2 AICc exp 100 0.78
matern_1.5 1 1.5 0.2 AICc average 100 0.77
matern_1.5 1 1.5 0.2 AICc erm 100 0.79
matern_1.5 1 1.5 0.2 GCVc exp 100 0.775
matern_1.5 1 1.5 0.2 GCVc average 100 0.815
matern_1.5 1 1.5 0.2 GCVc erm 100 0.775
matern_1.5 1 1.5 0.2 gmpml exp 100 0.685
matern_1.5 1 1.5 0.2 gmpml average 100 0.66
matern_1.5 1 1.5 0.2 gmpml erm 100 0.735
matern_1.5 1 1.5 0.2 loocv exp 100 0.71
matern_1.5 1 1.5 0.2 loocv average 100 0.745
matern_1.5 1 1.5 0.2 loocv erm 100 0.8
matern_1.5 1 1.5 0.3 AICc exp 100 0.815
matern_1.5 1 1.5 0.3 AICc average 100 0.835
matern_1.5 1 1.5 0.3 AICc erm 100 0.795
matern_1.5 1 1.5 0.3 GCVc exp 100 0.77
matern_1.5 1 1.5 0.3 GCVc average 100 0.83
matern_1.5 1 1.5 0.3 GCVc erm 100 0.845
matern_1.5 1 1.5 0.3 gmpml exp 100 0.735
matern_1.5 1 1.5 0.3 gmpml average 100 0.77
matern_1.5 1 1.5 0.3 gmpml erm 100 0.82
matern_1.5 1 1.5 0.3 loocv exp 100 0.775
matern_1.5 1 1.5 0.3 loocv average 100 0.79
matern_1.5 1 1.5 0.3 loocv erm 100 0.795
matern_2.5 2 0.5 0 AICc exp 100 0.05
matern_2.5 2 0.5 0 AICc average 100 0.035
matern_2.5 2 0.5 0 AICc erm 100 0.055
matern_2.5 2 0.5 0 GCVc exp 100 0.005
matern_2.5 2 0.5 0 GCVc average 100 0.015
matern_2.5 2 0.5 0 GCVc erm 100 0.02
matern_2.5 2 0.5 0 gmpml exp 100 0.005
matern_2.5 2 0.5 0 gmpml average 100 0.005
matern_2.5 2 0.5 0 gmpml erm 100 0.005
matern_2.5 2 0.5 0 loocv exp 100 0.01
matern_2.5 2 0.5 0 loocv average 100 0.005
matern_2.5 2 0.5 0 loocv erm 100 0.01
matern_2.5 2 0.5 0.1 AICc exp 100 0.035
matern_2.5 2 0.5 0.1 AICc average 100 0.08
matern_2.5 2 0.5 0.1 AICc erm 100 0.05
matern_2.5 2 0.5 0.1 GCVc exp 100 0.02
matern_2.5 2 0.5 0.1 GCVc average 100 0.035
matern_2.5 2 0.5 0.1 GCVc erm 100 0.015
matern_2.5 2 0.5 0.1 gmpml exp 100 0.015
matern_2.5 2 0.5 0.1 gmpml average 100 0.01
matern_2.5 2 0.5 0.1 gmpml erm 100 0.02
matern_2.5 2 0.5 0.1 loocv exp 100 0.015
matern_2.5 2 0.5 0.1 loocv average 100 0.025
matern_2.5 2 0.5 0.1 loocv erm 100 0.035
matern_2.5 2 0.5 0.2 AICc exp 100 0.045
matern_2.5 2 0.5 0.2 AICc average 100 0.01
matern_2.5 2 0.5 0.2 AICc erm 100 0.02
matern_2.5 2 0.5 0.2 GCVc exp 100 0.025
matern_2.5 2 0.5 0.2 GCVc average 100 0.03
matern_2.5 2 0.5 0.2 GCVc erm 100 0.04
matern_2.5 2 0.5 0.2 gmpml exp 100 0.03
matern_2.5 2 0.5 0.2 gmpml average 100 0.02
matern_2.5 2 0.5 0.2 gmpml erm 100 0.045
matern_2.5 2 0.5 0.2 loocv exp 100 0.02
matern_2.5 2 0.5 0.2 loocv average 100 0.03
matern_2.5 2 0.5 0.2 loocv erm 100 0.06
matern_2.5 2 0.5 0.3 AICc exp 100 0.025
matern_2.5 2 0.5 0.3 AICc average 100 0.03
matern_2.5 2 0.5 0.3 AICc erm 100 0.025
matern_2.5 2 0.5 0.3 GCVc exp 100 0.025
matern_2.5 2 0.5 0.3 GCVc average 100 0.025
matern_2.5 2 0.5 0.3 GCVc erm 100 0.025
matern_2.5 2 0.5 0.3 gmpml exp 100 0.025
matern_2.5 2 0.5 0.3 gmpml average 100 0.035
matern_2.5 2 0.5 0.3 gmpml erm 100 0.055
matern_2.5 2 0.5 0.3 loocv exp 100 0.03
matern_2.5 2 0.5 0.3 loocv average 100 0.015
matern_2.5 2 0.5 0.3 loocv erm 100 0.035
matern_2.5 2 1 0 AICc exp 100 0.03
matern_2.5 2 1 0 AICc average 100 0.045
matern_2.5 2 1 0 AICc erm 100 0.02
matern_2.5 2 1 0 GCVc exp 100 0.02
matern_2.5 2 1 0 GCVc average 100 0.02
matern_2.5 2 1 0 GCVc erm 100 0.03
matern_2.5 2 1 0 gmpml exp 100 0
matern_2.5 2 1 0 gmpml average 100 0.005
matern_2.5 2 1 0 gmpml erm 100 0.005
matern_2.5 2 1 0 loocv exp 100 0
matern_2.5 2 1 0 loocv average 100 0.01
matern_2.5 2 1 0 loocv erm 100 0.02
matern_2.5 2 1 0.1 AICc exp 100 0.46
matern_2.5 2 1 0.1 AICc average 100 0.35
matern_2.5 2 1 0.1 AICc erm 100 0.515
matern_2.5 2 1 0.1 GCVc exp 100 0.385
matern_2.5 2 1 0.1 GCVc average 100 0.44
matern_2.5 2 1 0.1 GCVc erm 100 0.455
matern_2.5 2 1 0.1 gmpml exp 100 0.275
matern_2.5 2 1 0.1 gmpml average 100 0.265
matern_2.5 2 1 0.1 gmpml erm 100 0.48
matern_2.5 2 1 0.1 loocv exp 100 0.28
matern_2.5 2 1 0.1 loocv average 100 0.315
matern_2.5 2 1 0.1 loocv erm 100 0.42
matern_2.5 2 1 0.2 AICc exp 100 0.525
matern_2.5 2 1 0.2 AICc average 100 0.57
matern_2.5 2 1 0.2 AICc erm 100 0.58
matern_2.5 2 1 0.2 GCVc exp 100 0.555
matern_2.5 2 1 0.2 GCVc average 100 0.595
matern_2.5 2 1 0.2 GCVc erm 100 0.51
matern_2.5 2 1 0.2 gmpml exp 100 0.485
matern_2.5 2 1 0.2 gmpml average 100 0.485
matern_2.5 2 1 0.2 gmpml erm 100 0.61
matern_2.5 2 1 0.2 loocv exp 100 0.58
matern_2.5 2 1 0.2 loocv average 100 0.52
matern_2.5 2 1 0.2 loocv erm 100 0.635
matern_2.5 2 1 0.3 AICc exp 100 0.54
matern_2.5 2 1 0.3 AICc average 100 0.625
matern_2.5 2 1 0.3 AICc erm 100 0.58
matern_2.5 2 1 0.3 GCVc exp 100 0.635
matern_2.5 2 1 0.3 GCVc average 100 0.625
matern_2.5 2 1 0.3 GCVc erm 100 0.59
matern_2.5 2 1 0.3 gmpml exp 100 0.585
matern_2.5 2 1 0.3 gmpml average 100 0.565
matern_2.5 2 1 0.3 gmpml erm 100 0.575
matern_2.5 2 1 0.3 loocv exp 100 0.605
matern_2.5 2 1 0.3 loocv average 100 0.615
matern_2.5 2 1 0.3 loocv erm 100 0.585
