method p l int.effect mode strategy n power
rbf 1 0.5 0.2 loocv average 100 0.085
rbf 1 0.5 0.2 loocv erm 100 0.065
rbf 1 0.5 0.3 AICc exp 100 0.045
rbf 1 0.5 0.3 AICc average 100 0.065
rbf 1 0.5 0.3 AICc erm 100 0.065
rbf 1 0.5 0.3 GCVc exp 100 0.09
rbf 1 0.5 0.3 GCVc average 100 0.075
rbf 1 0.5 0.3 GCVc erm 100 0.075
rbf 1 0.5 0.3 gmpml exp 100 0.08
rbf 1 0.5 0.3 gmpml average 100 0.11
rbf 1 0.5 0.3 gmpml erm 100 0.12
rbf 1 0.5 0.3 loocv exp 100 0.065
rbf 1 0.5 0.3 loocv average 100 0.07
rbf 1 0.5 0.3 loocv erm 100 0.075
rbf 2 1 0 AICc exp 100 0.03
rbf 2 1 0 AICc average 100 0.075
rbf 2 1 0 AICc erm 100 0.04
rbf 2 1 0 GCVc exp 100 0.025
rbf 2 1 0 GCVc average 100 0.04
rbf 2 1 0 GCVc erm 100 0.02
rbf 2 1 0 gmpml exp 100 0.01
rbf 2 1 0 gmpml average 100 0.015
rbf 2 1 0 gmpml erm 100 0
rbf 2 1 0 loocv exp 100 0.01
rbf 2 1 0 loocv average 100 0.04
rbf 2 1 0 loocv erm 100 0.01
rbf 2 1 0.1 AICc exp 100 0.51
rbf 2 1 0.1 AICc average 100 0.55
rbf 2 1 0.1 AICc erm 100 0.58
rbf 2 1 0.1 GCVc exp 100 0.585
rbf 2 1 0.1 GCVc average 100 0.55
rbf 2 1 0.1 GCVc erm 100 0.545
rbf 2 1 0.1 gmpml exp 100 0.435
rbf 2 1 0.1 gmpml average 100 0.47
rbf 2 1 0.1 gmpml erm 100 0.555
rbf 2 1 0.1 loocv exp 100 0.6
rbf 2 1 0.1 loocv average 100 0.59
rbf 2 1 0.1 loocv erm 100 0.56
rbf 2 1 0.2 AICc exp 100 0.71
rbf 2 1 0.2 AICc average 100 0.64
rbf 2 1 0.2 AICc erm 100 0.75
rbf 2 1 0.2 GCVc exp 100 0.76
rbf 2 1 0.2 GCVc average 100 0.74
rbf 2 1 0.2 GCVc erm 100 0.765
rbf 2 1 0.2 gmpml exp 100 0.685
rbf 2 1 0.2 gmpml average 100 0.635
rbf 2 1 0.2 gmpml erm 100 0.74
rbf 2 1 0.2 loocv exp 100 0.7
rbf 2 1 0.2 loocv average 100 0.735
rbf 2 1 0.2 loocv erm 100 0.745
rbf 2 1 0.3 AICc exp 100 0.72
rbf 2 1 0.3 AICc average 100 0.715
rbf 2 1 0.3 AICc erm 100 0.74
rbf 2 1 0.3 GCVc exp 100 0.76
rbf 2 1 0.3 GCVc average 100 0.75
rbf 2 1 0.3 GCVc erm 100 0.76
rbf 2 1 0.3 gmpml exp 100 0.795
rbf 2 1 0.3 gmpml average 100 0.73
rbf 2 1 0.3 gmpml erm 100 0.74
rbf 2 1 0.3 loocv exp 100 0.735
rbf 2 1 0.3 loocv average 100 0.78
rbf 2 1 0.3 loocv erm 100 0.78
rbf 3 1.5 0 AICc exp 100 0.02
rbf 3 1.5 0 AICc average 100 0.08
rbf 3 1.5 0 AICc erm 100 0.03
rbf 3 1.5 0 GCVc exp 100 0.02
rbf 3 1.5 0 GCVc average 100 0.01
rbf 3 1.5 0 GCVc erm 100 0.035
rbf 3 1.5 0 gmpml exp 100 0.02
rbf 3 1.5 0 gmpml average 100 0.015
rbf 3 1.5 0 gmpml erm 100 0.02
rbf 3 1.5 0 loocv exp 100 0.03
rbf 3 1.5 0 loocv average 100 0.02
rbf 3 1.5 0 loocv erm 100 0.01
rbf 3 1.5 0.1 AICc exp 100 0.81
rbf 3 1.5 0.1 AICc average 100 0.85
rbf 3 1.5 0.1 AICc erm 100 0.825
rbf 3 1.5 0.1 GCVc exp 100 0.77
rbf 3 1.5 0.1 GCVc average 100 0.81
rbf 3 1.5 0.1 GCVc erm 100 0.785
rbf 3 1.5 0.1 gmpml exp 100 0.63
rbf 3 1.5 0.1 gmpml average 100 0.61
rbf 3 1.5 0.1 gmpml erm 100 0.64
rbf 3 1.5 0.1 loocv exp 100 0.795
rbf 3 1.5 0.1 loocv average 100 0.755
rbf 3 1.5 0.1 loocv erm 100 0.775
rbf 3 1.5 0.2 AICc exp 100 0.925
rbf 3 1.5 0.2 AICc average 100 0.885
rbf 3 1.5 0.2 AICc erm 100 0.885
rbf 3 1.5 0.2 GCVc exp 100 0.915
rbf 3 1.5 0.2 GCVc average 100 0.91
rbf 3 1.5 0.2 GCVc erm 100 0.84
rbf 3 1.5 0.2 gmpml exp 100 0.875
rbf 3 1.5 0.2 gmpml average 100 0.835
rbf 3 1.5 0.2 gmpml erm 100 0.89
rbf 3 1.5 0.2 loocv exp 100 0.9
rbf 3 1.5 0.2 loocv average 100 0.88
rbf 3 1.5 0.2 loocv erm 100 0.88
rbf 3 1.5 0.3 AICc exp 100 0.92
rbf 3 1.5 0.3 AICc average 100 0.94
rbf 3 1.5 0.3 AICc erm 100 0.94
rbf 3 1.5 0.3 GCVc exp 100 0.935
rbf 3 1.5 0.3 GCVc average 100 0.94
rbf 3 1.5 0.3 GCVc erm 100 0.945
rbf 3 1.5 0.3 gmpml exp 100 0.91
rbf 3 1.5 0.3 gmpml average 100 0.865
rbf 3 1.5 0.3 gmpml erm 100 0.87
rbf 3 1.5 0.3 loocv exp 100 0.925
rbf 3 1.5 0.3 loocv average 100 0.915
rbf 3 1.5 0.3 loocv erm 100 0.92
matern_1.5 1 0.5 0 AICc exp 100 0.07
matern_1.5 1 0.5 0 AICc average 100 0.07
matern_1.5 1 0.5 0 AICc erm 100 0.045
matern_1.5 1 0.5 0 GCVc exp 100 0.03
matern_1.5 1 0.5 0 GCVc average 100 0.03
matern_1.5 1 0.5 0 GCVc erm 100 0.02
matern_1.5 1 0.5 0 gmpml exp 100 0.02
matern_1.5 1 0.5 0 gmpml average 100 0.02
matern_1.5 1 0.5 0 gmpml erm 100 0.005
matern_1.5 1 0.5 0 loocv exp 100 0.02
matern_1.5 1 0.5 0 loocv average 100 0.02
matern_1.5 1 0.5 0 loocv erm 100 0.015
matern_1.5 1 0.5 0.1 AICc exp 100 0.035
matern_1.5 1 0.5 0.1 AICc average 100 0.035
matern_1.5 1 0.5 0.1 AICc erm 100 0.035
matern_1.5 1 0.5 0.1 GCVc exp 100 0.03
matern_1.5 1 0.5 0.1 GCVc average 100 0.04
matern_1.5 1 0.5 0.1 GCVc erm 100 0.015
matern_1.5 1 0.5 0.1 gmpml exp 100 0.015
matern_1.5 1 0.5 0.1 gmpml average 100 0.035
matern_1.5 1 0.5 0.1 gmpml erm 100 0.035
matern_1.5 1 0.5 0.1 loocv exp 100 0.015
matern_1.5 1 0.5 0.1 loocv average 100 0.055
matern_1.5 1 0.5 0.1 loocv erm 100 0.005
matern_1.5 1 0.5 0.2 AICc exp 100 0.035
matern_1.5 1 0.5 0.2 AICc average 100 0.04
matern_1.5 1 0.5 0.2 AICc erm 100 0.02
matern_1.5 1 0.5 0.2 GCVc exp 100 0
matern_1.5 1 0.5 0.2 GCVc average 100 0.01
matern_1.5 1 0.5 0.2 GCVc erm 100 0.015
matern_1.5 1 0.5 0.2 gmpml exp 100 0
matern_1.5 1 0.5 0.2 gmpml average 100 0.045
matern_1.5 1 0.5 0.2 gmpml erm 100 0.005
matern_1.5 1 0.5 0.2 loocv exp 100 0.015
matern_1.5 1 0.5 0.2 loocv average 100 0.015
matern_1.5 1 0.5 0.2 loocv erm 100 0.005
matern_1.5 1 0.5 0.3 AICc exp 100 0.02
matern_1.5 1 0.5 0.3 AICc average 100 0.015
matern_1.5 1 0.5 0.3 AICc erm 100 0.01
matern_1.5 1 0.5 0.3 GCVc exp 100 0.025
matern_1.5 1 0.5 0.3 GCVc average 100 0.015
matern_1.5 1 0.5 0.3 GCVc erm 100 0.01
matern_1.5 1 0.5 0.3 gmpml exp 100 0.025
matern_1.5 1 0.5 0.3 gmpml average 100 0.015
matern_1.5 1 0.5 0.3 gmpml erm 100 0.005
matern_1.5 1 0.5 0.3 loocv exp 100 0.01
matern_1.5 1 0.5 0.3 loocv average 100 0.025
matern_1.5 1 0.5 0.3 loocv erm 100 0.005
matern_1.5 1 1 0 AICc exp 100 0.07
matern_1.5 1 1 0 AICc average 100 0.095
matern_1.5 1 1 0 AICc erm 100 0.06
matern_1.5 1 1 0 GCVc exp 100 0.045
matern_1.5 1 1 0 GCVc average 100 0.015
matern_1.5 1 1 0 GCVc erm 100 0.005
matern_1.5 1 1 0 gmpml exp 100 0.01
matern_1.5 1 1 0 gmpml average 100 0.02
matern_1.5 1 1 0 gmpml erm 100 0.005
matern_1.5 1 1 0 loocv exp 100 0.02
matern_1.5 1 1 0 loocv average 100 0.015
matern_1.5 1 1 0 loocv erm 100 0.025
matern_1.5 1 1 0.1 AICc exp 100 0.265
matern_1.5 1 1 0.1 AICc average 100 0.28
matern_1.5 1 1 0.1 AICc erm 100 0.37
matern_1.5 1 1 0.1 GCVc exp 100 0.355
matern_1.5 1 1 0.1 GCVc average 100 0.345
matern_1.5 1 1 0.1 GCVc erm 100 0.33
matern_1.5 1 1 0.1 gmpml exp 100 0.295
matern_1.5 1 1 0.1 gmpml average 100 0.365
matern_1.5 1 1 0.1 gmpml erm 100 0.335
matern_1.5 1 1 0.1 loocv exp 100 0.37
matern_1.5 1 1 0.1 loocv average 100 0.33
matern_1.5 1 1 0.1 loocv erm 100 0.32
matern_1.5 1 1 0.2 AICc exp 100 0.41
matern_1.5 1 1 0.2 AICc average 100 0.37
matern_1.5 1 1 0.2 AICc erm 100 0.395
matern_1.5 1 1 0.2 GCVc exp 100 0.43
matern_1.5 1 1 0.2 GCVc average 100 0.445
matern_1.5 1 1 0.2 GCVc erm 100 0.475
matern_1.5 1 1 0.2 gmpml exp 100 0.43
matern_1.5 1 1 0.2 gmpml average 100 0.52
matern_1.5 1 1 0.2 gmpml erm 100 0.495
matern_1.5 1 1 0.2 loocv exp 100 0.4
matern_1.5 1 1 0.2 loocv average 100 0.38
matern_1.5 1 1 0.2 loocv erm 100 0.46
matern_1.5 1 1 0.3 AICc exp 100 0.365
matern_1.5 1 1 0.3 AICc average 100 0.37
matern_1.5 1 1 0.3 AICc erm 100 0.365
matern_1.5 1 1 0.3 GCVc exp 100 0.395
matern_1.5 1 1 0.3 GCVc average 100 0.395
matern_1.5 1 1 0.3 GCVc erm 100 0.39
matern_1.5 1 1 0.3 gmpml exp 100 0.495
matern_1.5 1 1 0.3 gmpml average 100 0.54
matern_1.5 1 1 0.3 gmpml erm 100 0.445
matern_1.5 1 1 0.3 loocv exp 100 0.41
matern_1.5 1 1 0.3 loocv average 100 0.405
matern_1.5 1 1 0.3 loocv erm 100 0.475
matern_1.5 1 1.5 0 AICc exp 100 0.035
matern_1.5 1 1.5 0 AICc average 100 0.025
matern_1.5 1 1.5 0 AICc erm 100 0.04
matern_1.5 1 1.5 0 GCVc exp 100 0.035
matern_1.5 1 1.5 0 GCVc average 100 0.045
matern_1.5 1 1.5 0 GCVc erm 100 0.04
matern_1.5 1 1.5 0 gmpml exp 100 0.025
matern_1.5 1 1.5 0 gmpml average 100 0.005
matern_1.5 1 1.5 0 gmpml erm 100 0.04
matern_1.5 1 1.5 0 loocv exp 100 0.03
matern_1.5 1 1.5 0 loocv average 100 0.04
matern_1.5 1 1.5 0 loocv erm 100 0.015
matern_1.5 1 1.5 0.1 AICc exp 100 0.585
matern_1.5 1 1.5 0.1 AICc average 100 0.715
matern_1.5 1 1.5 0.1 AICc erm 100 0.635
matern_1.5 1 1.5 0.1 GCVc exp 100 0.63
matern_1.5 1 1.5 0.1 GCVc average 100 0.62
matern_1.5 1 1.5 0.1 GCVc erm 100 0.68
matern_1.5 1 1.5 0.1 gmpml exp 100 0.63
matern_1.5 1 1.5 0.1 gmpml average 100 0.575
matern_1.5 1 1.5 0.1 gmpml erm 100 0.585
matern_1.5 1 1.5 0.1 loocv exp 100 0.695
matern_1.5 1 1.5 0.1 loocv average 100 0.675
matern_1.5 1 1.5 0.1 loocv erm 100 0.575
matern_1.5 1 1.5 0.2 AICc exp 100 0.75
matern_1.5 1 1.5 0.2 AICc average 100 0.805
matern_1.5 1 1.5 0.2 AICc erm 100 0.76
matern_1.5 1 1.5 0.2 GCVc exp 100 0.77
matern_1.5 1 1.5 0.2 GCVc average 100 0.8
matern_1.5 1 1.5 0.2 GCVc erm 100 0.775
matern_1.5 1 1.5 0.2 gmpml exp 100 0.775
matern_1.5 1 1.5 0.2 gmpml average 100 0.81
matern_1.5 1 1.5 0.2 gmpml erm 100 0.795
matern_1.5 1 1.5 0.2 loocv exp 100 0.865
matern_1.5 1 1.5 0.2 loocv average 100 0.78
matern_1.5 1 1.5 0.2 loocv erm 100 0.795
matern_1.5 1 1.5 0.3 AICc exp 100 0.76
matern_1.5 1 1.5 0.3 AICc average 100 0.795
matern_1.5 1 1.5 0.3 AICc erm 100 0.79
matern_1.5 1 1.5 0.3 GCVc exp 100 0.835
matern_1.5 1 1.5 0.3 GCVc average 100 0.725
matern_1.5 1 1.5 0.3 GCVc erm 100 0.795
matern_1.5 1 1.5 0.3 gmpml exp 100 0.81
matern_1.5 1 1.5 0.3 gmpml average 100 0.785
matern_1.5 1 1.5 0.3 gmpml erm 100 0.805
matern_1.5 1 1.5 0.3 loocv exp 100 0.8
matern_1.5 1 1.5 0.3 loocv average 100 0.84
matern_1.5 1 1.5 0.3 loocv erm 100 0.775
matern_2.5 2 0.5 0 AICc exp 100 0.075
matern_2.5 2 0.5 0 AICc average 100 0.07
matern_2.5 2 0.5 0 AICc erm 100 0.09
matern_2.5 2 0.5 0 GCVc exp 100 0.015
matern_2.5 2 0.5 0 GCVc average 100 0.025
matern_2.5 2 0.5 0 GCVc erm 100 0.03
matern_2.5 2 0.5 0 gmpml exp 100 0.005
matern_2.5 2 0.5 0 gmpml average 100 0.025
matern_2.5 2 0.5 0 gmpml erm 100 0.005
matern_2.5 2 0.5 0 loocv exp 100 0.005
matern_2.5 2 0.5 0 loocv average 100 0.035
matern_2.5 2 0.5 0 loocv erm 100 0.005
matern_2.5 2 0.5 0.1 AICc exp 100 0.05
matern_2.5 2 0.5 0.1 AICc average 100 0.055
matern_2.5 2 0.5 0.1 AICc erm 100 0.08
matern_2.5 2 0.5 0.1 GCVc exp 100 0.045
matern_2.5 2 0.5 0.1 GCVc average 100 0.065
matern_2.5 2 0.5 0.1 GCVc erm 100 0.03
matern_2.5 2 0.5 0.1 gmpml exp 100 0.03
matern_2.5 2 0.5 0.1 gmpml average 100 0.035
matern_2.5 2 0.5 0.1 gmpml erm 100 0.025
matern_2.5 2 0.5 0.1 loocv exp 100 0.055
matern_2.5 2 0.5 0.1 loocv average 100 0.06
matern_2.5 2 0.5 0.1 loocv erm 100 0.02
matern_2.5 2 0.5 0.2 AICc exp 100 0.035
matern_2.5 2 0.5 0.2 AICc average 100 0.025
matern_2.5 2 0.5 0.2 AICc erm 100 0.025
matern_2.5 2 0.5 0.2 GCVc exp 100 0.045
matern_2.5 2 0.5 0.2 GCVc average 100 0.05
matern_2.5 2 0.5 0.2 GCVc erm 100 0.05
matern_2.5 2 0.5 0.2 gmpml exp 100 0.06
matern_2.5 2 0.5 0.2 gmpml average 100 0.02
matern_2.5 2 0.5 0.2 gmpml erm 100 0.035
matern_2.5 2 0.5 0.2 loocv exp 100 0.025
matern_2.5 2 0.5 0.2 loocv average 100 0.05
matern_2.5 2 0.5 0.2 loocv erm 100 0.055
matern_2.5 2 0.5 0.3 AICc exp 100 0.05
matern_2.5 2 0.5 0.3 AICc average 100 0.025
matern_2.5 2 0.5 0.3 AICc erm 100 0.03
matern_2.5 2 0.5 0.3 GCVc exp 100 0.05
matern_2.5 2 0.5 0.3 GCVc average 100 0.035
matern_2.5 2 0.5 0.3 GCVc erm 100 0.05
matern_2.5 2 0.5 0.3 gmpml exp 100 0.04
matern_2.5 2 0.5 0.3 gmpml average 100 0.075
matern_2.5 2 0.5 0.3 gmpml erm 100 0.045
matern_2.5 2 0.5 0.3 loocv exp 100 0.03
matern_2.5 2 0.5 0.3 loocv average 100 0.03
matern_2.5 2 0.5 0.3 loocv erm 100 0.01
matern_2.5 2 1 0 AICc exp 100 0.05
matern_2.5 2 1 0 AICc average 100 0.08
matern_2.5 2 1 0 AICc erm 100 0.035
matern_2.5 2 1 0 GCVc exp 100 0.035
matern_2.5 2 1 0 GCVc average 100 0.025
matern_2.5 2 1 0 GCVc erm 100 0.02
matern_2.5 2 1 0 gmpml exp 100 0.02
matern_2.5 2 1 0 gmpml average 100 0.015
matern_2.5 2 1 0 gmpml erm 100 0
matern_2.5 2 1 0 loocv exp 100 0.025
matern_2.5 2 1 0 loocv average 100 0.04
matern_2.5 2 1 0 loocv erm 100 0.02
matern_2.5 2 1 0.1 AICc exp 100 0.425
matern_2.5 2 1 0.1 AICc average 100 0.42
matern_2.5 2 1 0.1 AICc erm 100 0.54
matern_2.5 2 1 0.1 GCVc exp 100 0.37
matern_2.5 2 1 0.1 GCVc average 100 0.385
matern_2.5 2 1 0.1 GCVc erm 100 0.53
matern_2.5 2 1 0.1 gmpml exp 100 0.41
matern_2.5 2 1 0.1 gmpml average 100 0.435
matern_2.5 2 1 0.1 gmpml erm 100 0.44
matern_2.5 2 1 0.1 loocv exp 100 0.4
matern_2.5 2 1 0.1 loocv average 100 0.515
matern_2.5 2 1 0.1 loocv erm 100 0.435
matern_2.5 2 1 0.2 AICc exp 100 0.475
matern_2.5 2 1 0.2 AICc average 100 0.485
matern_2.5 2 1 0.2 AICc erm 100 0.53
matern_2.5 2 1 0.2 GCVc exp 100 0.58
matern_2.5 2 1 0.2 GCVc average 100 0.57
matern_2.5 2 1 0.2 GCVc erm 100 0.59
matern_2.5 2 1 0.2 gmpml exp 100 0.555
matern_2.5 2 1 0.2 gmpml average 100 0.595
matern_2.5 2 1 0.2 gmpml erm 100 0.6
matern_2.5 2 1 0.2 loocv exp 100 0.535
matern_2.5 2 1 0.2 loocv average 100 0.535
matern_2.5 2 1 0.2 loocv erm 100 0.565
matern_2.5 2 1 0.3 AICc exp 100 0.555
matern_2.5 2 1 0.3 AICc average 100 0.53
matern_2.5 2 1 0.3 AICc erm 100 0.525
matern_2.5 2 1 0.3 GCVc exp 100 0.605
matern_2.5 2 1 0.3 GCVc average 100 0.56
matern_2.5 2 1 0.3 GCVc erm 100 0.56
matern_2.5 2 1 0.3 gmpml exp 100 0.685
matern_2.5 2 1 0.3 gmpml average 100 0.675
matern_2.5 2 1 0.3 gmpml erm 100 0.625
matern_2.5 2 1 0.3 loocv exp 100 0.49
matern_2.5 2 1 0.3 loocv average 100 0.58
matern_2.5 2 1 0.3 loocv erm 100 0.555
