"n","method","p","l","int_effect","mode","strategy","beta","d"
100,"rbf",2,1,0.7,"gmpml","avg","min",1
100,"polynomial",3,1.5,0.7,"gmpml","avg","min",1
100,"rbf",3,1.5,0.7,"gmpml","avg","min",1
100,"polynomial",1,0.5,0.8,"gmpml","avg","min",1
100,"rbf",1,0.5,0.8,"gmpml","avg","min",1
100,"polynomial",2,1,0.8,"gmpml","avg","min",1
100,"rbf",2,1,0.8,"gmpml","avg","min",1
100,"polynomial",3,1.5,0.8,"gmpml","avg","min",1
100,"rbf",3,1.5,0.8,"gmpml","avg","min",1
100,"polynomial",1,0.5,0.9,"gmpml","avg","min",1
100,"rbf",1,0.5,0.9,"gmpml","avg","min",1
100,"polynomial",2,1,0.9,"gmpml","avg","min",1
100,"rbf",2,1,0.9,"gmpml","avg","min",1
100,"polynomial",3,1.5,0.9,"gmpml","avg","min",1
100,"rbf",3,1.5,0.9,"gmpml","avg","min",1
100,"polynomial",1,0.5,1,"gmpml","avg","min",1
100,"rbf",1,0.5,1,"gmpml","avg","min",1
100,"polynomial",2,1,1,"gmpml","avg","min",1
100,"rbf",2,1,1,"gmpml","avg","min",1
100,"polynomial",3,1.5,1,"gmpml","avg","min",1
100,"rbf",3,1.5,1,"gmpml","avg","min",1
100,"polynomial",1,0.5,0,"loocv","avg","min",1
100,"rbf",1,0.5,0,"loocv","avg","min",1
100,"polynomial",2,1,0,"loocv","avg","min",1
100,"rbf",2,1,0,"loocv","avg","min",1
100,"polynomial",3,1.5,0,"loocv","avg","min",1
100,"rbf",3,1.5,0,"loocv","avg","min",1
100,"polynomial",1,0.5,0.05,"loocv","avg","min",1
100,"rbf",1,0.5,0.05,"loocv","avg","min",1
100,"polynomial",2,1,0.05,"loocv","avg","min",1
100,"rbf",2,1,0.05,"loocv","avg","min",1
100,"polynomial",3,1.5,0.05,"loocv","avg","min",1
100,"rbf",3,1.5,0.05,"loocv","avg","min",1
100,"polynomial",1,0.5,0.1,"loocv","avg","min",1
100,"rbf",1,0.5,0.1,"loocv","avg","min",1
100,"polynomial",2,1,0.1,"loocv","avg","min",1
100,"rbf",2,1,0.1,"loocv","avg","min",1
100,"polynomial",3,1.5,0.1,"loocv","avg","min",1
100,"rbf",3,1.5,0.1,"loocv","avg","min",1
100,"polynomial",1,0.5,0.15,"loocv","avg","min",1
100,"rbf",1,0.5,0.15,"loocv","avg","min",1
100,"polynomial",2,1,0.15,"loocv","avg","min",1
100,"rbf",2,1,0.15,"loocv","avg","min",1
100,"polynomial",3,1.5,0.15,"loocv","avg","min",1
100,"rbf",3,1.5,0.15,"loocv","avg","min",1
100,"polynomial",1,0.5,0.2,"loocv","avg","min",1
100,"rbf",1,0.5,0.2,"loocv","avg","min",1
100,"polynomial",2,1,0.2,"loocv","avg","min",1
100,"rbf",2,1,0.2,"loocv","avg","min",1
100,"polynomial",3,1.5,0.2,"loocv","avg","min",1
100,"rbf",3,1.5,0.2,"loocv","avg","min",1
100,"polynomial",1,0.5,0.25,"loocv","avg","min",1
100,"rbf",1,0.5,0.25,"loocv","avg","min",1
100,"polynomial",2,1,0.25,"loocv","avg","min",1
100,"rbf",2,1,0.25,"loocv","avg","min",1
100,"polynomial",3,1.5,0.25,"loocv","avg","min",1
100,"rbf",3,1.5,0.25,"loocv","avg","min",1
100,"polynomial",1,0.5,0.3,"loocv","avg","min",1
100,"rbf",1,0.5,0.3,"loocv","avg","min",1
100,"polynomial",2,1,0.3,"loocv","avg","min",1
100,"rbf",2,1,0.3,"loocv","avg","min",1
100,"polynomial",3,1.5,0.3,"loocv","avg","min",1
100,"rbf",3,1.5,0.3,"loocv","avg","min",1
100,"polynomial",1,0.5,0.4,"loocv","avg","min",1
100,"rbf",1,0.5,0.4,"loocv","avg","min",1
100,"polynomial",2,1,0.4,"loocv","avg","min",1
100,"rbf",2,1,0.4,"loocv","avg","min",1
100,"polynomial",3,1.5,0.4,"loocv","avg","min",1
100,"rbf",3,1.5,0.4,"loocv","avg","min",1
100,"polynomial",1,0.5,0.5,"loocv","avg","min",1
100,"rbf",1,0.5,0.5,"loocv","avg","min",1
100,"polynomial",2,1,0.5,"loocv","avg","min",1
100,"rbf",2,1,0.5,"loocv","avg","min",1
100,"polynomial",3,1.5,0.5,"loocv","avg","min",1
100,"rbf",3,1.5,0.5,"loocv","avg","min",1
100,"polynomial",1,0.5,0.6,"loocv","avg","min",1
100,"rbf",1,0.5,0.6,"loocv","avg","min",1
100,"polynomial",2,1,0.6,"loocv","avg","min",1
100,"rbf",2,1,0.6,"loocv","avg","min",1
100,"polynomial",3,1.5,0.6,"loocv","avg","min",1
100,"rbf",3,1.5,0.6,"loocv","avg","min",1
100,"polynomial",1,0.5,0.7,"loocv","avg","min",1
100,"rbf",1,0.5,0.7,"loocv","avg","min",1
100,"polynomial",2,1,0.7,"loocv","avg","min",1
100,"rbf",2,1,0.7,"loocv","avg","min",1
100,"polynomial",3,1.5,0.7,"loocv","avg","min",1
100,"rbf",3,1.5,0.7,"loocv","avg","min",1
100,"polynomial",1,0.5,0.8,"loocv","avg","min",1
100,"rbf",1,0.5,0.8,"loocv","avg","min",1
100,"polynomial",2,1,0.8,"loocv","avg","min",1
100,"rbf",2,1,0.8,"loocv","avg","min",1
100,"polynomial",3,1.5,0.8,"loocv","avg","min",1
100,"rbf",3,1.5,0.8,"loocv","avg","min",1
100,"polynomial",1,0.5,0.9,"loocv","avg","min",1
100,"rbf",1,0.5,0.9,"loocv","avg","min",1
100,"polynomial",2,1,0.9,"loocv","avg","min",1
100,"rbf",2,1,0.9,"loocv","avg","min",1
100,"polynomial",3,1.5,0.9,"loocv","avg","min",1
100,"rbf",3,1.5,0.9,"loocv","avg","min",1
100,"polynomial",1,0.5,1,"loocv","avg","min",1
100,"rbf",1,0.5,1,"loocv","avg","min",1
100,"polynomial",2,1,1,"loocv","avg","min",1
100,"rbf",2,1,1,"loocv","avg","min",1
100,"polynomial",3,1.5,1,"loocv","avg","min",1
100,"rbf",3,1.5,1,"loocv","avg","min",1
100,"polynomial",1,0.5,0,"AIC","avg","min",2
100,"rbf",1,0.5,0,"AIC","avg","min",2
100,"polynomial",2,1,0,"AIC","avg","min",2
100,"rbf",2,1,0,"AIC","avg","min",2
100,"polynomial",3,1.5,0,"AIC","avg","min",2
100,"rbf",3,1.5,0,"AIC","avg","min",2
100,"polynomial",1,0.5,0.05,"AIC","avg","min",2
100,"rbf",1,0.5,0.05,"AIC","avg","min",2
100,"polynomial",2,1,0.05,"AIC","avg","min",2
100,"rbf",2,1,0.05,"AIC","avg","min",2
100,"polynomial",3,1.5,0.05,"AIC","avg","min",2
100,"rbf",3,1.5,0.05,"AIC","avg","min",2
100,"polynomial",1,0.5,0.1,"AIC","avg","min",2
100,"rbf",1,0.5,0.1,"AIC","avg","min",2
100,"polynomial",2,1,0.1,"AIC","avg","min",2
100,"rbf",2,1,0.1,"AIC","avg","min",2
100,"polynomial",3,1.5,0.1,"AIC","avg","min",2
100,"rbf",3,1.5,0.1,"AIC","avg","min",2
100,"polynomial",1,0.5,0.15,"AIC","avg","min",2
100,"rbf",1,0.5,0.15,"AIC","avg","min",2
100,"polynomial",2,1,0.15,"AIC","avg","min",2
100,"rbf",2,1,0.15,"AIC","avg","min",2
100,"polynomial",3,1.5,0.15,"AIC","avg","min",2
100,"rbf",3,1.5,0.15,"AIC","avg","min",2
100,"polynomial",1,0.5,0.2,"AIC","avg","min",2
100,"rbf",1,0.5,0.2,"AIC","avg","min",2
100,"polynomial",2,1,0.2,"AIC","avg","min",2
100,"rbf",2,1,0.2,"AIC","avg","min",2
100,"polynomial",3,1.5,0.2,"AIC","avg","min",2
100,"rbf",3,1.5,0.2,"AIC","avg","min",2
100,"polynomial",1,0.5,0.25,"AIC","avg","min",2
100,"rbf",1,0.5,0.25,"AIC","avg","min",2
100,"polynomial",2,1,0.25,"AIC","avg","min",2
100,"rbf",2,1,0.25,"AIC","avg","min",2
100,"polynomial",3,1.5,0.25,"AIC","avg","min",2
100,"rbf",3,1.5,0.25,"AIC","avg","min",2
100,"polynomial",1,0.5,0.3,"AIC","avg","min",2
100,"rbf",1,0.5,0.3,"AIC","avg","min",2
100,"polynomial",2,1,0.3,"AIC","avg","min",2
100,"rbf",2,1,0.3,"AIC","avg","min",2
100,"polynomial",3,1.5,0.3,"AIC","avg","min",2
100,"rbf",3,1.5,0.3,"AIC","avg","min",2
100,"polynomial",1,0.5,0.4,"AIC","avg","min",2
100,"rbf",1,0.5,0.4,"AIC","avg","min",2
100,"polynomial",2,1,0.4,"AIC","avg","min",2
100,"rbf",2,1,0.4,"AIC","avg","min",2
100,"polynomial",3,1.5,0.4,"AIC","avg","min",2
100,"rbf",3,1.5,0.4,"AIC","avg","min",2
100,"polynomial",1,0.5,0.5,"AIC","avg","min",2
100,"rbf",1,0.5,0.5,"AIC","avg","min",2
100,"polynomial",2,1,0.5,"AIC","avg","min",2
100,"rbf",2,1,0.5,"AIC","avg","min",2
100,"polynomial",3,1.5,0.5,"AIC","avg","min",2
100,"rbf",3,1.5,0.5,"AIC","avg","min",2
100,"polynomial",1,0.5,0.6,"AIC","avg","min",2
100,"rbf",1,0.5,0.6,"AIC","avg","min",2
100,"polynomial",2,1,0.6,"AIC","avg","min",2
100,"rbf",2,1,0.6,"AIC","avg","min",2
100,"polynomial",3,1.5,0.6,"AIC","avg","min",2
100,"rbf",3,1.5,0.6,"AIC","avg","min",2
100,"polynomial",1,0.5,0.7,"AIC","avg","min",2
100,"rbf",1,0.5,0.7,"AIC","avg","min",2
100,"polynomial",2,1,0.7,"AIC","avg","min",2
100,"rbf",2,1,0.7,"AIC","avg","min",2
100,"polynomial",3,1.5,0.7,"AIC","avg","min",2
100,"rbf",3,1.5,0.7,"AIC","avg","min",2
100,"polynomial",1,0.5,0.8,"AIC","avg","min",2
100,"rbf",1,0.5,0.8,"AIC","avg","min",2
100,"polynomial",2,1,0.8,"AIC","avg","min",2
100,"rbf",2,1,0.8,"AIC","avg","min",2
100,"polynomial",3,1.5,0.8,"AIC","avg","min",2
100,"rbf",3,1.5,0.8,"AIC","avg","min",2
100,"polynomial",1,0.5,0.9,"AIC","avg","min",2
100,"rbf",1,0.5,0.9,"AIC","avg","min",2
100,"polynomial",2,1,0.9,"AIC","avg","min",2
100,"rbf",2,1,0.9,"AIC","avg","min",2
100,"polynomial",3,1.5,0.9,"AIC","avg","min",2
100,"rbf",3,1.5,0.9,"AIC","avg","min",2
100,"polynomial",1,0.5,1,"AIC","avg","min",2
100,"rbf",1,0.5,1,"AIC","avg","min",2
100,"polynomial",2,1,1,"AIC","avg","min",2
100,"rbf",2,1,1,"AIC","avg","min",2
100,"polynomial",3,1.5,1,"AIC","avg","min",2
100,"rbf",3,1.5,1,"AIC","avg","min",2
100,"polynomial",1,0.5,0,"BIC","avg","min",2
100,"rbf",1,0.5,0,"BIC","avg","min",2
100,"polynomial",2,1,0,"BIC","avg","min",2
100,"rbf",2,1,0,"BIC","avg","min",2
100,"polynomial",3,1.5,0,"BIC","avg","min",2
100,"rbf",3,1.5,0,"BIC","avg","min",2
100,"polynomial",1,0.5,0.05,"BIC","avg","min",2
100,"rbf",1,0.5,0.05,"BIC","avg","min",2
100,"polynomial",2,1,0.05,"BIC","avg","min",2
100,"rbf",2,1,0.05,"BIC","avg","min",2
100,"polynomial",3,1.5,0.05,"BIC","avg","min",2
100,"rbf",3,1.5,0.05,"BIC","avg","min",2
100,"polynomial",1,0.5,0.1,"BIC","avg","min",2
100,"rbf",1,0.5,0.1,"BIC","avg","min",2
100,"polynomial",2,1,0.1,"BIC","avg","min",2
100,"rbf",2,1,0.1,"BIC","avg","min",2
100,"polynomial",3,1.5,0.1,"BIC","avg","min",2
100,"rbf",3,1.5,0.1,"BIC","avg","min",2
100,"polynomial",1,0.5,0.15,"BIC","avg","min",2
100,"rbf",1,0.5,0.15,"BIC","avg","min",2
100,"polynomial",2,1,0.15,"BIC","avg","min",2
100,"rbf",2,1,0.15,"BIC","avg","min",2
100,"polynomial",3,1.5,0.15,"BIC","avg","min",2
100,"rbf",3,1.5,0.15,"BIC","avg","min",2
100,"polynomial",1,0.5,0.2,"BIC","avg","min",2
100,"rbf",1,0.5,0.2,"BIC","avg","min",2
100,"polynomial",2,1,0.2,"BIC","avg","min",2
100,"rbf",2,1,0.2,"BIC","avg","min",2
100,"polynomial",3,1.5,0.2,"BIC","avg","min",2
100,"rbf",3,1.5,0.2,"BIC","avg","min",2
100,"polynomial",1,0.5,0.25,"BIC","avg","min",2
100,"rbf",1,0.5,0.25,"BIC","avg","min",2
100,"polynomial",2,1,0.25,"BIC","avg","min",2
100,"rbf",2,1,0.25,"BIC","avg","min",2
100,"polynomial",3,1.5,0.25,"BIC","avg","min",2
100,"rbf",3,1.5,0.25,"BIC","avg","min",2
100,"polynomial",1,0.5,0.3,"BIC","avg","min",2
100,"rbf",1,0.5,0.3,"BIC","avg","min",2
100,"polynomial",2,1,0.3,"BIC","avg","min",2
100,"rbf",2,1,0.3,"BIC","avg","min",2
100,"polynomial",3,1.5,0.3,"BIC","avg","min",2
100,"rbf",3,1.5,0.3,"BIC","avg","min",2
100,"polynomial",1,0.5,0.4,"BIC","avg","min",2
100,"rbf",1,0.5,0.4,"BIC","avg","min",2
100,"polynomial",2,1,0.4,"BIC","avg","min",2
100,"rbf",2,1,0.4,"BIC","avg","min",2
100,"polynomial",3,1.5,0.4,"BIC","avg","min",2
100,"rbf",3,1.5,0.4,"BIC","avg","min",2
100,"polynomial",1,0.5,0.5,"BIC","avg","min",2
100,"rbf",1,0.5,0.5,"BIC","avg","min",2
100,"polynomial",2,1,0.5,"BIC","avg","min",2
100,"rbf",2,1,0.5,"BIC","avg","min",2
100,"polynomial",3,1.5,0.5,"BIC","avg","min",2
100,"rbf",3,1.5,0.5,"BIC","avg","min",2
100,"polynomial",1,0.5,0.6,"BIC","avg","min",2
100,"rbf",1,0.5,0.6,"BIC","avg","min",2
100,"polynomial",2,1,0.6,"BIC","avg","min",2
100,"rbf",2,1,0.6,"BIC","avg","min",2
100,"polynomial",3,1.5,0.6,"BIC","avg","min",2
100,"rbf",3,1.5,0.6,"BIC","avg","min",2
100,"polynomial",1,0.5,0.7,"BIC","avg","min",2
100,"rbf",1,0.5,0.7,"BIC","avg","min",2
100,"polynomial",2,1,0.7,"BIC","avg","min",2
100,"rbf",2,1,0.7,"BIC","avg","min",2
100,"polynomial",3,1.5,0.7,"BIC","avg","min",2
100,"rbf",3,1.5,0.7,"BIC","avg","min",2
100,"polynomial",1,0.5,0.8,"BIC","avg","min",2
100,"rbf",1,0.5,0.8,"BIC","avg","min",2
100,"polynomial",2,1,0.8,"BIC","avg","min",2
100,"rbf",2,1,0.8,"BIC","avg","min",2
100,"polynomial",3,1.5,0.8,"BIC","avg","min",2
100,"rbf",3,1.5,0.8,"BIC","avg","min",2
100,"polynomial",1,0.5,0.9,"BIC","avg","min",2
100,"rbf",1,0.5,0.9,"BIC","avg","min",2
100,"polynomial",2,1,0.9,"BIC","avg","min",2
100,"rbf",2,1,0.9,"BIC","avg","min",2
100,"polynomial",3,1.5,0.9,"BIC","avg","min",2
100,"rbf",3,1.5,0.9,"BIC","avg","min",2
100,"polynomial",1,0.5,1,"BIC","avg","min",2
100,"rbf",1,0.5,1,"BIC","avg","min",2
100,"polynomial",2,1,1,"BIC","avg","min",2
100,"rbf",2,1,1,"BIC","avg","min",2
100,"polynomial",3,1.5,1,"BIC","avg","min",2
100,"rbf",3,1.5,1,"BIC","avg","min",2
100,"polynomial",1,0.5,0,"GCV","avg","min",2
100,"rbf",1,0.5,0,"GCV","avg","min",2
100,"polynomial",2,1,0,"GCV","avg","min",2
100,"rbf",2,1,0,"GCV","avg","min",2
100,"polynomial",3,1.5,0,"GCV","avg","min",2
100,"rbf",3,1.5,0,"GCV","avg","min",2
100,"polynomial",1,0.5,0.05,"GCV","avg","min",2
100,"rbf",1,0.5,0.05,"GCV","avg","min",2
100,"polynomial",2,1,0.05,"GCV","avg","min",2
100,"rbf",2,1,0.05,"GCV","avg","min",2
100,"polynomial",3,1.5,0.05,"GCV","avg","min",2
100,"rbf",3,1.5,0.05,"GCV","avg","min",2
100,"polynomial",1,0.5,0.1,"GCV","avg","min",2
100,"rbf",1,0.5,0.1,"GCV","avg","min",2
100,"polynomial",2,1,0.1,"GCV","avg","min",2
100,"rbf",2,1,0.1,"GCV","avg","min",2
100,"polynomial",3,1.5,0.1,"GCV","avg","min",2
100,"rbf",3,1.5,0.1,"GCV","avg","min",2
100,"polynomial",1,0.5,0.15,"GCV","avg","min",2
100,"rbf",1,0.5,0.15,"GCV","avg","min",2
100,"polynomial",2,1,0.15,"GCV","avg","min",2
100,"rbf",2,1,0.15,"GCV","avg","min",2
100,"polynomial",3,1.5,0.15,"GCV","avg","min",2
100,"rbf",3,1.5,0.15,"GCV","avg","min",2
100,"polynomial",1,0.5,0.2,"GCV","avg","min",2
100,"rbf",1,0.5,0.2,"GCV","avg","min",2
100,"polynomial",2,1,0.2,"GCV","avg","min",2
100,"rbf",2,1,0.2,"GCV","avg","min",2
100,"polynomial",3,1.5,0.2,"GCV","avg","min",2
100,"rbf",3,1.5,0.2,"GCV","avg","min",2
100,"polynomial",1,0.5,0.25,"GCV","avg","min",2
100,"rbf",1,0.5,0.25,"GCV","avg","min",2
100,"polynomial",2,1,0.25,"GCV","avg","min",2
100,"rbf",2,1,0.25,"GCV","avg","min",2
100,"polynomial",3,1.5,0.25,"GCV","avg","min",2
100,"rbf",3,1.5,0.25,"GCV","avg","min",2
100,"polynomial",1,0.5,0.3,"GCV","avg","min",2
100,"rbf",1,0.5,0.3,"GCV","avg","min",2
100,"polynomial",2,1,0.3,"GCV","avg","min",2
100,"rbf",2,1,0.3,"GCV","avg","min",2
100,"polynomial",3,1.5,0.3,"GCV","avg","min",2
100,"rbf",3,1.5,0.3,"GCV","avg","min",2
100,"polynomial",1,0.5,0.4,"GCV","avg","min",2
100,"rbf",1,0.5,0.4,"GCV","avg","min",2
100,"polynomial",2,1,0.4,"GCV","avg","min",2
100,"rbf",2,1,0.4,"GCV","avg","min",2
100,"polynomial",3,1.5,0.4,"GCV","avg","min",2
100,"rbf",3,1.5,0.4,"GCV","avg","min",2
100,"polynomial",1,0.5,0.5,"GCV","avg","min",2
100,"rbf",1,0.5,0.5,"GCV","avg","min",2
100,"polynomial",2,1,0.5,"GCV","avg","min",2
100,"rbf",2,1,0.5,"GCV","avg","min",2
100,"polynomial",3,1.5,0.5,"GCV","avg","min",2
100,"rbf",3,1.5,0.5,"GCV","avg","min",2
100,"polynomial",1,0.5,0.6,"GCV","avg","min",2
100,"rbf",1,0.5,0.6,"GCV","avg","min",2
100,"polynomial",2,1,0.6,"GCV","avg","min",2
100,"rbf",2,1,0.6,"GCV","avg","min",2
100,"polynomial",3,1.5,0.6,"GCV","avg","min",2
100,"rbf",3,1.5,0.6,"GCV","avg","min",2
100,"polynomial",1,0.5,0.7,"GCV","avg","min",2
100,"rbf",1,0.5,0.7,"GCV","avg","min",2
100,"polynomial",2,1,0.7,"GCV","avg","min",2
100,"rbf",2,1,0.7,"GCV","avg","min",2
100,"polynomial",3,1.5,0.7,"GCV","avg","min",2
100,"rbf",3,1.5,0.7,"GCV","avg","min",2
100,"polynomial",1,0.5,0.8,"GCV","avg","min",2
100,"rbf",1,0.5,0.8,"GCV","avg","min",2
100,"polynomial",2,1,0.8,"GCV","avg","min",2
100,"rbf",2,1,0.8,"GCV","avg","min",2
100,"polynomial",3,1.5,0.8,"GCV","avg","min",2
100,"rbf",3,1.5,0.8,"GCV","avg","min",2
100,"polynomial",1,0.5,0.9,"GCV","avg","min",2
100,"rbf",1,0.5,0.9,"GCV","avg","min",2
100,"polynomial",2,1,0.9,"GCV","avg","min",2
100,"rbf",2,1,0.9,"GCV","avg","min",2
100,"polynomial",3,1.5,0.9,"GCV","avg","min",2
100,"rbf",3,1.5,0.9,"GCV","avg","min",2
100,"polynomial",1,0.5,1,"GCV","avg","min",2
100,"rbf",1,0.5,1,"GCV","avg","min",2
100,"polynomial",2,1,1,"GCV","avg","min",2
100,"rbf",2,1,1,"GCV","avg","min",2
100,"polynomial",3,1.5,1,"GCV","avg","min",2
100,"rbf",3,1.5,1,"GCV","avg","min",2
100,"polynomial",1,0.5,0,"AICc","avg","min",2
100,"rbf",1,0.5,0,"AICc","avg","min",2
100,"polynomial",2,1,0,"AICc","avg","min",2
100,"rbf",2,1,0,"AICc","avg","min",2
100,"polynomial",3,1.5,0,"AICc","avg","min",2
100,"rbf",3,1.5,0,"AICc","avg","min",2
100,"polynomial",1,0.5,0.05,"AICc","avg","min",2
100,"rbf",1,0.5,0.05,"AICc","avg","min",2
100,"polynomial",2,1,0.05,"AICc","avg","min",2
100,"rbf",2,1,0.05,"AICc","avg","min",2
100,"polynomial",3,1.5,0.05,"AICc","avg","min",2
100,"rbf",3,1.5,0.05,"AICc","avg","min",2
100,"polynomial",1,0.5,0.1,"AICc","avg","min",2
100,"rbf",1,0.5,0.1,"AICc","avg","min",2
100,"polynomial",2,1,0.1,"AICc","avg","min",2
100,"rbf",2,1,0.1,"AICc","avg","min",2
100,"polynomial",3,1.5,0.1,"AICc","avg","min",2
100,"rbf",3,1.5,0.1,"AICc","avg","min",2
100,"polynomial",1,0.5,0.15,"AICc","avg","min",2
100,"rbf",1,0.5,0.15,"AICc","avg","min",2
100,"polynomial",2,1,0.15,"AICc","avg","min",2
100,"rbf",2,1,0.15,"AICc","avg","min",2
100,"polynomial",3,1.5,0.15,"AICc","avg","min",2
100,"rbf",3,1.5,0.15,"AICc","avg","min",2
100,"polynomial",1,0.5,0.2,"AICc","avg","min",2
100,"rbf",1,0.5,0.2,"AICc","avg","min",2
100,"polynomial",2,1,0.2,"AICc","avg","min",2
100,"rbf",2,1,0.2,"AICc","avg","min",2
100,"polynomial",3,1.5,0.2,"AICc","avg","min",2
100,"rbf",3,1.5,0.2,"AICc","avg","min",2
100,"polynomial",1,0.5,0.25,"AICc","avg","min",2
100,"rbf",1,0.5,0.25,"AICc","avg","min",2
100,"polynomial",2,1,0.25,"AICc","avg","min",2
100,"rbf",2,1,0.25,"AICc","avg","min",2
100,"polynomial",3,1.5,0.25,"AICc","avg","min",2
100,"rbf",3,1.5,0.25,"AICc","avg","min",2
100,"polynomial",1,0.5,0.3,"AICc","avg","min",2
100,"rbf",1,0.5,0.3,"AICc","avg","min",2
100,"polynomial",2,1,0.3,"AICc","avg","min",2
100,"rbf",2,1,0.3,"AICc","avg","min",2
100,"polynomial",3,1.5,0.3,"AICc","avg","min",2
100,"rbf",3,1.5,0.3,"AICc","avg","min",2
100,"polynomial",1,0.5,0.4,"AICc","avg","min",2
100,"rbf",1,0.5,0.4,"AICc","avg","min",2
100,"polynomial",2,1,0.4,"AICc","avg","min",2
100,"rbf",2,1,0.4,"AICc","avg","min",2
100,"polynomial",3,1.5,0.4,"AICc","avg","min",2
100,"rbf",3,1.5,0.4,"AICc","avg","min",2
100,"polynomial",1,0.5,0.5,"AICc","avg","min",2
100,"rbf",1,0.5,0.5,"AICc","avg","min",2
100,"polynomial",2,1,0.5,"AICc","avg","min",2
100,"rbf",2,1,0.5,"AICc","avg","min",2
100,"polynomial",3,1.5,0.5,"AICc","avg","min",2
100,"rbf",3,1.5,0.5,"AICc","avg","min",2
100,"polynomial",1,0.5,0.6,"AICc","avg","min",2
100,"rbf",1,0.5,0.6,"AICc","avg","min",2
100,"polynomial",2,1,0.6,"AICc","avg","min",2
100,"rbf",2,1,0.6,"AICc","avg","min",2
100,"polynomial",3,1.5,0.6,"AICc","avg","min",2
100,"rbf",3,1.5,0.6,"AICc","avg","min",2
100,"polynomial",1,0.5,0.7,"AICc","avg","min",2
100,"rbf",1,0.5,0.7,"AICc","avg","min",2
100,"polynomial",2,1,0.7,"AICc","avg","min",2
100,"rbf",2,1,0.7,"AICc","avg","min",2
100,"polynomial",3,1.5,0.7,"AICc","avg","min",2
100,"rbf",3,1.5,0.7,"AICc","avg","min",2
100,"polynomial",1,0.5,0.8,"AICc","avg","min",2
100,"rbf",1,0.5,0.8,"AICc","avg","min",2
100,"polynomial",2,1,0.8,"AICc","avg","min",2
100,"rbf",2,1,0.8,"AICc","avg","min",2
100,"polynomial",3,1.5,0.8,"AICc","avg","min",2
100,"rbf",3,1.5,0.8,"AICc","avg","min",2
100,"polynomial",1,0.5,0.9,"AICc","avg","min",2
100,"rbf",1,0.5,0.9,"AICc","avg","min",2
100,"polynomial",2,1,0.9,"AICc","avg","min",2
100,"rbf",2,1,0.9,"AICc","avg","min",2
100,"polynomial",3,1.5,0.9,"AICc","avg","min",2
100,"rbf",3,1.5,0.9,"AICc","avg","min",2
100,"polynomial",1,0.5,1,"AICc","avg","min",2
100,"rbf",1,0.5,1,"AICc","avg","min",2
100,"polynomial",2,1,1,"AICc","avg","min",2
100,"rbf",2,1,1,"AICc","avg","min",2
100,"polynomial",3,1.5,1,"AICc","avg","min",2
100,"rbf",3,1.5,1,"AICc","avg","min",2
100,"polynomial",1,0.5,0,"GCVc","avg","min",2
100,"rbf",1,0.5,0,"GCVc","avg","min",2
100,"polynomial",2,1,0,"GCVc","avg","min",2
100,"rbf",2,1,0,"GCVc","avg","min",2
100,"polynomial",3,1.5,0,"GCVc","avg","min",2
100,"rbf",3,1.5,0,"GCVc","avg","min",2
100,"polynomial",1,0.5,0.05,"GCVc","avg","min",2
100,"rbf",1,0.5,0.05,"GCVc","avg","min",2
100,"polynomial",2,1,0.05,"GCVc","avg","min",2
100,"rbf",2,1,0.05,"GCVc","avg","min",2
100,"polynomial",3,1.5,0.05,"GCVc","avg","min",2
100,"rbf",3,1.5,0.05,"GCVc","avg","min",2
100,"polynomial",1,0.5,0.1,"GCVc","avg","min",2
100,"rbf",1,0.5,0.1,"GCVc","avg","min",2
100,"polynomial",2,1,0.1,"GCVc","avg","min",2
100,"rbf",2,1,0.1,"GCVc","avg","min",2
100,"polynomial",3,1.5,0.1,"GCVc","avg","min",2
100,"rbf",3,1.5,0.1,"GCVc","avg","min",2
100,"polynomial",1,0.5,0.15,"GCVc","avg","min",2
100,"rbf",1,0.5,0.15,"GCVc","avg","min",2
100,"polynomial",2,1,0.15,"GCVc","avg","min",2
100,"rbf",2,1,0.15,"GCVc","avg","min",2
100,"polynomial",3,1.5,0.15,"GCVc","avg","min",2
100,"rbf",3,1.5,0.15,"GCVc","avg","min",2
100,"polynomial",1,0.5,0.2,"GCVc","avg","min",2
100,"rbf",1,0.5,0.2,"GCVc","avg","min",2
100,"polynomial",2,1,0.2,"GCVc","avg","min",2
100,"rbf",2,1,0.2,"GCVc","avg","min",2
100,"polynomial",3,1.5,0.2,"GCVc","avg","min",2
100,"rbf",3,1.5,0.2,"GCVc","avg","min",2
100,"polynomial",1,0.5,0.25,"GCVc","avg","min",2
100,"rbf",1,0.5,0.25,"GCVc","avg","min",2
100,"polynomial",2,1,0.25,"GCVc","avg","min",2
100,"rbf",2,1,0.25,"GCVc","avg","min",2
100,"polynomial",3,1.5,0.25,"GCVc","avg","min",2
100,"rbf",3,1.5,0.25,"GCVc","avg","min",2
100,"polynomial",1,0.5,0.3,"GCVc","avg","min",2
100,"rbf",1,0.5,0.3,"GCVc","avg","min",2
100,"polynomial",2,1,0.3,"GCVc","avg","min",2
100,"rbf",2,1,0.3,"GCVc","avg","min",2
100,"polynomial",3,1.5,0.3,"GCVc","avg","min",2
100,"rbf",3,1.5,0.3,"GCVc","avg","min",2
100,"polynomial",1,0.5,0.4,"GCVc","avg","min",2
100,"rbf",1,0.5,0.4,"GCVc","avg","min",2
100,"polynomial",2,1,0.4,"GCVc","avg","min",2
100,"rbf",2,1,0.4,"GCVc","avg","min",2
