"n","method","p","l","int_effect","mode","strategy","beta","d"
100,"polynomial",3,1.5,0.05,"GCV","exp","min",5
100,"rbf",3,1.5,0.05,"GCV","exp","min",5
100,"polynomial",1,0.5,0.1,"GCV","exp","min",5
100,"rbf",1,0.5,0.1,"GCV","exp","min",5
100,"polynomial",2,1,0.1,"GCV","exp","min",5
100,"rbf",2,1,0.1,"GCV","exp","min",5
100,"polynomial",3,1.5,0.1,"GCV","exp","min",5
100,"rbf",3,1.5,0.1,"GCV","exp","min",5
100,"polynomial",1,0.5,0.15,"GCV","exp","min",5
100,"rbf",1,0.5,0.15,"GCV","exp","min",5
100,"polynomial",2,1,0.15,"GCV","exp","min",5
100,"rbf",2,1,0.15,"GCV","exp","min",5
100,"polynomial",3,1.5,0.15,"GCV","exp","min",5
100,"rbf",3,1.5,0.15,"GCV","exp","min",5
100,"polynomial",1,0.5,0.2,"GCV","exp","min",5
100,"rbf",1,0.5,0.2,"GCV","exp","min",5
100,"polynomial",2,1,0.2,"GCV","exp","min",5
100,"rbf",2,1,0.2,"GCV","exp","min",5
100,"polynomial",3,1.5,0.2,"GCV","exp","min",5
100,"rbf",3,1.5,0.2,"GCV","exp","min",5
100,"polynomial",1,0.5,0.25,"GCV","exp","min",5
100,"rbf",1,0.5,0.25,"GCV","exp","min",5
100,"polynomial",2,1,0.25,"GCV","exp","min",5
100,"rbf",2,1,0.25,"GCV","exp","min",5
100,"polynomial",3,1.5,0.25,"GCV","exp","min",5
100,"rbf",3,1.5,0.25,"GCV","exp","min",5
100,"polynomial",1,0.5,0.3,"GCV","exp","min",5
100,"rbf",1,0.5,0.3,"GCV","exp","min",5
100,"polynomial",2,1,0.3,"GCV","exp","min",5
100,"rbf",2,1,0.3,"GCV","exp","min",5
100,"polynomial",3,1.5,0.3,"GCV","exp","min",5
100,"rbf",3,1.5,0.3,"GCV","exp","min",5
100,"polynomial",1,0.5,0.4,"GCV","exp","min",5
100,"rbf",1,0.5,0.4,"GCV","exp","min",5
100,"polynomial",2,1,0.4,"GCV","exp","min",5
100,"rbf",2,1,0.4,"GCV","exp","min",5
100,"polynomial",3,1.5,0.4,"GCV","exp","min",5
100,"rbf",3,1.5,0.4,"GCV","exp","min",5
100,"polynomial",1,0.5,0.5,"GCV","exp","min",5
100,"rbf",1,0.5,0.5,"GCV","exp","min",5
100,"polynomial",2,1,0.5,"GCV","exp","min",5
100,"rbf",2,1,0.5,"GCV","exp","min",5
100,"polynomial",3,1.5,0.5,"GCV","exp","min",5
100,"rbf",3,1.5,0.5,"GCV","exp","min",5
100,"polynomial",1,0.5,0.6,"GCV","exp","min",5
100,"rbf",1,0.5,0.6,"GCV","exp","min",5
100,"polynomial",2,1,0.6,"GCV","exp","min",5
100,"rbf",2,1,0.6,"GCV","exp","min",5
100,"polynomial",3,1.5,0.6,"GCV","exp","min",5
100,"rbf",3,1.5,0.6,"GCV","exp","min",5
100,"polynomial",1,0.5,0.7,"GCV","exp","min",5
100,"rbf",1,0.5,0.7,"GCV","exp","min",5
100,"polynomial",2,1,0.7,"GCV","exp","min",5
100,"rbf",2,1,0.7,"GCV","exp","min",5
100,"polynomial",3,1.5,0.7,"GCV","exp","min",5
100,"rbf",3,1.5,0.7,"GCV","exp","min",5
100,"polynomial",1,0.5,0.8,"GCV","exp","min",5
100,"rbf",1,0.5,0.8,"GCV","exp","min",5
100,"polynomial",2,1,0.8,"GCV","exp","min",5
100,"rbf",2,1,0.8,"GCV","exp","min",5
100,"polynomial",3,1.5,0.8,"GCV","exp","min",5
100,"rbf",3,1.5,0.8,"GCV","exp","min",5
100,"polynomial",1,0.5,0.9,"GCV","exp","min",5
100,"rbf",1,0.5,0.9,"GCV","exp","min",5
100,"polynomial",2,1,0.9,"GCV","exp","min",5
100,"rbf",2,1,0.9,"GCV","exp","min",5
100,"polynomial",3,1.5,0.9,"GCV","exp","min",5
100,"rbf",3,1.5,0.9,"GCV","exp","min",5
100,"polynomial",1,0.5,1,"GCV","exp","min",5
100,"rbf",1,0.5,1,"GCV","exp","min",5
100,"polynomial",2,1,1,"GCV","exp","min",5
100,"rbf",2,1,1,"GCV","exp","min",5
100,"polynomial",3,1.5,1,"GCV","exp","min",5
100,"rbf",3,1.5,1,"GCV","exp","min",5
100,"matern",1,0.5,0,"AIC","avg","min",1
100,"matern",2,0.5,0,"AIC","avg","min",1
100,"matern",1,1,0,"AIC","avg","min",1
100,"matern",2,1,0,"AIC","avg","min",1
100,"matern",1,1.5,0,"AIC","avg","min",1
100,"matern",2,1.5,0,"AIC","avg","min",1
100,"matern",1,0.5,0.05,"AIC","avg","min",1
100,"matern",2,0.5,0.05,"AIC","avg","min",1
100,"matern",1,1,0.05,"AIC","avg","min",1
100,"matern",2,1,0.05,"AIC","avg","min",1
100,"matern",1,1.5,0.05,"AIC","avg","min",1
100,"matern",2,1.5,0.05,"AIC","avg","min",1
100,"matern",1,0.5,0.1,"AIC","avg","min",1
100,"matern",2,0.5,0.1,"AIC","avg","min",1
100,"matern",1,1,0.1,"AIC","avg","min",1
100,"matern",2,1,0.1,"AIC","avg","min",1
100,"matern",1,1.5,0.1,"AIC","avg","min",1
100,"matern",2,1.5,0.1,"AIC","avg","min",1
100,"matern",1,0.5,0.15,"AIC","avg","min",1
100,"matern",2,0.5,0.15,"AIC","avg","min",1
100,"matern",1,1,0.15,"AIC","avg","min",1
100,"matern",2,1,0.15,"AIC","avg","min",1
100,"matern",1,1.5,0.15,"AIC","avg","min",1
100,"matern",2,1.5,0.15,"AIC","avg","min",1
100,"matern",1,0.5,0.2,"AIC","avg","min",1
100,"matern",2,0.5,0.2,"AIC","avg","min",1
100,"matern",1,1,0.2,"AIC","avg","min",1
100,"matern",2,1,0.2,"AIC","avg","min",1
100,"matern",1,1.5,0.2,"AIC","avg","min",1
100,"matern",2,1.5,0.2,"AIC","avg","min",1
100,"matern",1,0.5,0.25,"AIC","avg","min",1
100,"matern",2,0.5,0.25,"AIC","avg","min",1
100,"matern",1,1,0.25,"AIC","avg","min",1
100,"matern",2,1,0.25,"AIC","avg","min",1
100,"matern",1,1.5,0.25,"AIC","avg","min",1
100,"matern",2,1.5,0.25,"AIC","avg","min",1
100,"matern",1,0.5,0.3,"AIC","avg","min",1
100,"matern",2,0.5,0.3,"AIC","avg","min",1
100,"matern",1,1,0.3,"AIC","avg","min",1
100,"matern",2,1,0.3,"AIC","avg","min",1
100,"matern",1,1.5,0.3,"AIC","avg","min",1
100,"matern",2,1.5,0.3,"AIC","avg","min",1
100,"matern",1,0.5,0.4,"AIC","avg","min",1
100,"matern",2,0.5,0.4,"AIC","avg","min",1
100,"matern",1,1,0.4,"AIC","avg","min",1
100,"matern",2,1,0.4,"AIC","avg","min",1
100,"matern",1,1.5,0.4,"AIC","avg","min",1
100,"matern",2,1.5,0.4,"AIC","avg","min",1
100,"matern",1,0.5,0.5,"AIC","avg","min",1
100,"matern",2,0.5,0.5,"AIC","avg","min",1
100,"matern",1,1,0.5,"AIC","avg","min",1
100,"matern",2,1,0.5,"AIC","avg","min",1
100,"matern",1,1.5,0.5,"AIC","avg","min",1
100,"matern",2,1.5,0.5,"AIC","avg","min",1
100,"matern",1,0.5,0.6,"AIC","avg","min",1
100,"matern",2,0.5,0.6,"AIC","avg","min",1
100,"matern",1,1,0.6,"AIC","avg","min",1
100,"matern",2,1,0.6,"AIC","avg","min",1
100,"matern",1,1.5,0.6,"AIC","avg","min",1
100,"matern",2,1.5,0.6,"AIC","avg","min",1
100,"matern",1,0.5,0.7,"AIC","avg","min",1
100,"matern",2,0.5,0.7,"AIC","avg","min",1
100,"matern",1,1,0.7,"AIC","avg","min",1
100,"matern",2,1,0.7,"AIC","avg","min",1
100,"matern",1,1.5,0.7,"AIC","avg","min",1
100,"matern",2,1.5,0.7,"AIC","avg","min",1
100,"matern",1,0.5,0.8,"AIC","avg","min",1
100,"matern",2,0.5,0.8,"AIC","avg","min",1
100,"matern",1,1,0.8,"AIC","avg","min",1
100,"matern",2,1,0.8,"AIC","avg","min",1
100,"matern",1,1.5,0.8,"AIC","avg","min",1
100,"matern",2,1.5,0.8,"AIC","avg","min",1
100,"matern",1,0.5,0.9,"AIC","avg","min",1
100,"matern",2,0.5,0.9,"AIC","avg","min",1
100,"matern",1,1,0.9,"AIC","avg","min",1
100,"matern",2,1,0.9,"AIC","avg","min",1
100,"matern",1,1.5,0.9,"AIC","avg","min",1
100,"matern",2,1.5,0.9,"AIC","avg","min",1
100,"matern",1,0.5,1,"AIC","avg","min",1
100,"matern",2,0.5,1,"AIC","avg","min",1
100,"matern",1,1,1,"AIC","avg","min",1
100,"matern",2,1,1,"AIC","avg","min",1
100,"matern",1,1.5,1,"AIC","avg","min",1
100,"matern",2,1.5,1,"AIC","avg","min",1
100,"matern",1,0.5,0,"BIC","avg","min",1
100,"matern",2,0.5,0,"BIC","avg","min",1
100,"matern",1,1,0,"BIC","avg","min",1
100,"matern",2,1,0,"BIC","avg","min",1
100,"matern",1,1.5,0,"BIC","avg","min",1
100,"matern",2,1.5,0,"BIC","avg","min",1
100,"matern",1,0.5,0.05,"BIC","avg","min",1
100,"matern",2,0.5,0.05,"BIC","avg","min",1
100,"matern",1,1,0.05,"BIC","avg","min",1
100,"matern",2,1,0.05,"BIC","avg","min",1
100,"matern",1,1.5,0.05,"BIC","avg","min",1
100,"matern",2,1.5,0.05,"BIC","avg","min",1
100,"matern",1,0.5,0.1,"BIC","avg","min",1
100,"matern",2,0.5,0.1,"BIC","avg","min",1
100,"matern",1,1,0.1,"BIC","avg","min",1
100,"matern",2,1,0.1,"BIC","avg","min",1
100,"matern",1,1.5,0.1,"BIC","avg","min",1
100,"matern",2,1.5,0.1,"BIC","avg","min",1
100,"matern",1,0.5,0.15,"BIC","avg","min",1
100,"matern",2,0.5,0.15,"BIC","avg","min",1
100,"matern",1,1,0.15,"BIC","avg","min",1
100,"matern",2,1,0.15,"BIC","avg","min",1
100,"matern",1,1.5,0.15,"BIC","avg","min",1
100,"matern",2,1.5,0.15,"BIC","avg","min",1
100,"matern",1,0.5,0.2,"BIC","avg","min",1
100,"matern",2,0.5,0.2,"BIC","avg","min",1
100,"matern",1,1,0.2,"BIC","avg","min",1
100,"matern",2,1,0.2,"BIC","avg","min",1
100,"matern",1,1.5,0.2,"BIC","avg","min",1
100,"matern",2,1.5,0.2,"BIC","avg","min",1
100,"matern",1,0.5,0.25,"BIC","avg","min",1
100,"matern",2,0.5,0.25,"BIC","avg","min",1
100,"matern",1,1,0.25,"BIC","avg","min",1
100,"matern",2,1,0.25,"BIC","avg","min",1
100,"matern",1,1.5,0.25,"BIC","avg","min",1
100,"matern",2,1.5,0.25,"BIC","avg","min",1
100,"matern",1,0.5,0.3,"BIC","avg","min",1
100,"matern",2,0.5,0.3,"BIC","avg","min",1
100,"matern",1,1,0.3,"BIC","avg","min",1
100,"matern",2,1,0.3,"BIC","avg","min",1
100,"matern",1,1.5,0.3,"BIC","avg","min",1
100,"matern",2,1.5,0.3,"BIC","avg","min",1
100,"matern",1,0.5,0.4,"BIC","avg","min",1
100,"matern",2,0.5,0.4,"BIC","avg","min",1
100,"matern",1,1,0.4,"BIC","avg","min",1
100,"matern",2,1,0.4,"BIC","avg","min",1
100,"matern",1,1.5,0.4,"BIC","avg","min",1
100,"matern",2,1.5,0.4,"BIC","avg","min",1
100,"matern",1,0.5,0.5,"BIC","avg","min",1
100,"matern",2,0.5,0.5,"BIC","avg","min",1
100,"matern",1,1,0.5,"BIC","avg","min",1
100,"matern",2,1,0.5,"BIC","avg","min",1
100,"matern",1,1.5,0.5,"BIC","avg","min",1
100,"matern",2,1.5,0.5,"BIC","avg","min",1
100,"matern",1,0.5,0.6,"BIC","avg","min",1
100,"matern",2,0.5,0.6,"BIC","avg","min",1
100,"matern",1,1,0.6,"BIC","avg","min",1
100,"matern",2,1,0.6,"BIC","avg","min",1
100,"matern",1,1.5,0.6,"BIC","avg","min",1
100,"matern",2,1.5,0.6,"BIC","avg","min",1
100,"matern",1,0.5,0.7,"BIC","avg","min",1
100,"matern",2,0.5,0.7,"BIC","avg","min",1
100,"matern",1,1,0.7,"BIC","avg","min",1
100,"matern",2,1,0.7,"BIC","avg","min",1
100,"matern",1,1.5,0.7,"BIC","avg","min",1
100,"matern",2,1.5,0.7,"BIC","avg","min",1
100,"matern",1,0.5,0.8,"BIC","avg","min",1
100,"matern",2,0.5,0.8,"BIC","avg","min",1
100,"matern",1,1,0.8,"BIC","avg","min",1
100,"matern",2,1,0.8,"BIC","avg","min",1
100,"matern",1,1.5,0.8,"BIC","avg","min",1
100,"matern",2,1.5,0.8,"BIC","avg","min",1
100,"matern",1,0.5,0.9,"BIC","avg","min",1
100,"matern",2,0.5,0.9,"BIC","avg","min",1
100,"matern",1,1,0.9,"BIC","avg","min",1
100,"matern",2,1,0.9,"BIC","avg","min",1
100,"matern",1,1.5,0.9,"BIC","avg","min",1
100,"matern",2,1.5,0.9,"BIC","avg","min",1
100,"matern",1,0.5,1,"BIC","avg","min",1
100,"matern",2,0.5,1,"BIC","avg","min",1
100,"matern",1,1,1,"BIC","avg","min",1
100,"matern",2,1,1,"BIC","avg","min",1
100,"matern",1,1.5,1,"BIC","avg","min",1
100,"matern",2,1.5,1,"BIC","avg","min",1
100,"matern",1,0.5,0,"GCV","avg","min",1
100,"matern",2,0.5,0,"GCV","avg","min",1
100,"matern",1,1,0,"GCV","avg","min",1
100,"matern",2,1,0,"GCV","avg","min",1
100,"matern",1,1.5,0,"GCV","avg","min",1
100,"matern",2,1.5,0,"GCV","avg","min",1
100,"matern",1,0.5,0.05,"GCV","avg","min",1
100,"matern",2,0.5,0.05,"GCV","avg","min",1
100,"matern",1,1,0.05,"GCV","avg","min",1
100,"matern",2,1,0.05,"GCV","avg","min",1
100,"matern",1,1.5,0.05,"GCV","avg","min",1
100,"matern",2,1.5,0.05,"GCV","avg","min",1
100,"matern",1,0.5,0.1,"GCV","avg","min",1
100,"matern",2,0.5,0.1,"GCV","avg","min",1
100,"matern",1,1,0.1,"GCV","avg","min",1
100,"matern",2,1,0.1,"GCV","avg","min",1
100,"matern",1,1.5,0.1,"GCV","avg","min",1
100,"matern",2,1.5,0.1,"GCV","avg","min",1
100,"matern",1,0.5,0.15,"GCV","avg","min",1
100,"matern",2,0.5,0.15,"GCV","avg","min",1
100,"matern",1,1,0.15,"GCV","avg","min",1
100,"matern",2,1,0.15,"GCV","avg","min",1
100,"matern",1,1.5,0.15,"GCV","avg","min",1
100,"matern",2,1.5,0.15,"GCV","avg","min",1
100,"matern",1,0.5,0.2,"GCV","avg","min",1
100,"matern",2,0.5,0.2,"GCV","avg","min",1
100,"matern",1,1,0.2,"GCV","avg","min",1
100,"matern",2,1,0.2,"GCV","avg","min",1
100,"matern",1,1.5,0.2,"GCV","avg","min",1
100,"matern",2,1.5,0.2,"GCV","avg","min",1
100,"matern",1,0.5,0.25,"GCV","avg","min",1
100,"matern",2,0.5,0.25,"GCV","avg","min",1
100,"matern",1,1,0.25,"GCV","avg","min",1
100,"matern",2,1,0.25,"GCV","avg","min",1
100,"matern",1,1.5,0.25,"GCV","avg","min",1
100,"matern",2,1.5,0.25,"GCV","avg","min",1
100,"matern",1,0.5,0.3,"GCV","avg","min",1
100,"matern",2,0.5,0.3,"GCV","avg","min",1
100,"matern",1,1,0.3,"GCV","avg","min",1
100,"matern",2,1,0.3,"GCV","avg","min",1
100,"matern",1,1.5,0.3,"GCV","avg","min",1
100,"matern",2,1.5,0.3,"GCV","avg","min",1
100,"matern",1,0.5,0.4,"GCV","avg","min",1
100,"matern",2,0.5,0.4,"GCV","avg","min",1
100,"matern",1,1,0.4,"GCV","avg","min",1
100,"matern",2,1,0.4,"GCV","avg","min",1
100,"matern",1,1.5,0.4,"GCV","avg","min",1
100,"matern",2,1.5,0.4,"GCV","avg","min",1
100,"matern",1,0.5,0.5,"GCV","avg","min",1
100,"matern",2,0.5,0.5,"GCV","avg","min",1
100,"matern",1,1,0.5,"GCV","avg","min",1
100,"matern",2,1,0.5,"GCV","avg","min",1
100,"matern",1,1.5,0.5,"GCV","avg","min",1
100,"matern",2,1.5,0.5,"GCV","avg","min",1
100,"matern",1,0.5,0.6,"GCV","avg","min",1
100,"matern",2,0.5,0.6,"GCV","avg","min",1
100,"matern",1,1,0.6,"GCV","avg","min",1
100,"matern",2,1,0.6,"GCV","avg","min",1
100,"matern",1,1.5,0.6,"GCV","avg","min",1
100,"matern",2,1.5,0.6,"GCV","avg","min",1
100,"matern",1,0.5,0.7,"GCV","avg","min",1
100,"matern",2,0.5,0.7,"GCV","avg","min",1
100,"matern",1,1,0.7,"GCV","avg","min",1
100,"matern",2,1,0.7,"GCV","avg","min",1
100,"matern",1,1.5,0.7,"GCV","avg","min",1
100,"matern",2,1.5,0.7,"GCV","avg","min",1
100,"matern",1,0.5,0.8,"GCV","avg","min",1
100,"matern",2,0.5,0.8,"GCV","avg","min",1
100,"matern",1,1,0.8,"GCV","avg","min",1
100,"matern",2,1,0.8,"GCV","avg","min",1
100,"matern",1,1.5,0.8,"GCV","avg","min",1
100,"matern",2,1.5,0.8,"GCV","avg","min",1
100,"matern",1,0.5,0.9,"GCV","avg","min",1
100,"matern",2,0.5,0.9,"GCV","avg","min",1
100,"matern",1,1,0.9,"GCV","avg","min",1
100,"matern",2,1,0.9,"GCV","avg","min",1
100,"matern",1,1.5,0.9,"GCV","avg","min",1
100,"matern",2,1.5,0.9,"GCV","avg","min",1
100,"matern",1,0.5,1,"GCV","avg","min",1
100,"matern",2,0.5,1,"GCV","avg","min",1
100,"matern",1,1,1,"GCV","avg","min",1
100,"matern",2,1,1,"GCV","avg","min",1
100,"matern",1,1.5,1,"GCV","avg","min",1
100,"matern",2,1.5,1,"GCV","avg","min",1
100,"matern",1,0.5,0,"AIC","avg","min",2
100,"matern",2,0.5,0,"AIC","avg","min",2
100,"matern",1,1,0,"AIC","avg","min",2
100,"matern",2,1,0,"AIC","avg","min",2
100,"matern",1,1.5,0,"AIC","avg","min",2
100,"matern",2,1.5,0,"AIC","avg","min",2
100,"matern",1,0.5,0.05,"AIC","avg","min",2
100,"matern",2,0.5,0.05,"AIC","avg","min",2
100,"matern",1,1,0.05,"AIC","avg","min",2
100,"matern",2,1,0.05,"AIC","avg","min",2
100,"matern",1,1.5,0.05,"AIC","avg","min",2
100,"matern",2,1.5,0.05,"AIC","avg","min",2
100,"matern",1,0.5,0.1,"AIC","avg","min",2
100,"matern",2,0.5,0.1,"AIC","avg","min",2
100,"matern",1,1,0.1,"AIC","avg","min",2
100,"matern",2,1,0.1,"AIC","avg","min",2
100,"matern",1,1.5,0.1,"AIC","avg","min",2
100,"matern",2,1.5,0.1,"AIC","avg","min",2
100,"matern",1,0.5,0.15,"AIC","avg","min",2
100,"matern",2,0.5,0.15,"AIC","avg","min",2
100,"matern",1,1,0.15,"AIC","avg","min",2
100,"matern",2,1,0.15,"AIC","avg","min",2
100,"matern",1,1.5,0.15,"AIC","avg","min",2
100,"matern",2,1.5,0.15,"AIC","avg","min",2
100,"matern",1,0.5,0.2,"AIC","avg","min",2
100,"matern",2,0.5,0.2,"AIC","avg","min",2
100,"matern",1,1,0.2,"AIC","avg","min",2
100,"matern",2,1,0.2,"AIC","avg","min",2
100,"matern",1,1.5,0.2,"AIC","avg","min",2
100,"matern",2,1.5,0.2,"AIC","avg","min",2
100,"matern",1,0.5,0.25,"AIC","avg","min",2
100,"matern",2,0.5,0.25,"AIC","avg","min",2
100,"matern",1,1,0.25,"AIC","avg","min",2
100,"matern",2,1,0.25,"AIC","avg","min",2
100,"matern",1,1.5,0.25,"AIC","avg","min",2
100,"matern",2,1.5,0.25,"AIC","avg","min",2
100,"matern",1,0.5,0.3,"AIC","avg","min",2
100,"matern",2,0.5,0.3,"AIC","avg","min",2
100,"matern",1,1,0.3,"AIC","avg","min",2
100,"matern",2,1,0.3,"AIC","avg","min",2
100,"matern",1,1.5,0.3,"AIC","avg","min",2
100,"matern",2,1.5,0.3,"AIC","avg","min",2
100,"matern",1,0.5,0.4,"AIC","avg","min",2
100,"matern",2,0.5,0.4,"AIC","avg","min",2
100,"matern",1,1,0.4,"AIC","avg","min",2
100,"matern",2,1,0.4,"AIC","avg","min",2
100,"matern",1,1.5,0.4,"AIC","avg","min",2
100,"matern",2,1.5,0.4,"AIC","avg","min",2
100,"matern",1,0.5,0.5,"AIC","avg","min",2
100,"matern",2,0.5,0.5,"AIC","avg","min",2
100,"matern",1,1,0.5,"AIC","avg","min",2
100,"matern",2,1,0.5,"AIC","avg","min",2
100,"matern",1,1.5,0.5,"AIC","avg","min",2
100,"matern",2,1.5,0.5,"AIC","avg","min",2
100,"matern",1,0.5,0.6,"AIC","avg","min",2
100,"matern",2,0.5,0.6,"AIC","avg","min",2
100,"matern",1,1,0.6,"AIC","avg","min",2
100,"matern",2,1,0.6,"AIC","avg","min",2
100,"matern",1,1.5,0.6,"AIC","avg","min",2
100,"matern",2,1.5,0.6,"AIC","avg","min",2
100,"matern",1,0.5,0.7,"AIC","avg","min",2
100,"matern",2,0.5,0.7,"AIC","avg","min",2
100,"matern",1,1,0.7,"AIC","avg","min",2
100,"matern",2,1,0.7,"AIC","avg","min",2
100,"matern",1,1.5,0.7,"AIC","avg","min",2
100,"matern",2,1.5,0.7,"AIC","avg","min",2
100,"matern",1,0.5,0.8,"AIC","avg","min",2
100,"matern",2,0.5,0.8,"AIC","avg","min",2
100,"matern",1,1,0.8,"AIC","avg","min",2
100,"matern",2,1,0.8,"AIC","avg","min",2
100,"matern",1,1.5,0.8,"AIC","avg","min",2
100,"matern",2,1.5,0.8,"AIC","avg","min",2
100,"matern",1,0.5,0.9,"AIC","avg","min",2
100,"matern",2,0.5,0.9,"AIC","avg","min",2
100,"matern",1,1,0.9,"AIC","avg","min",2
100,"matern",2,1,0.9,"AIC","avg","min",2
100,"matern",1,1.5,0.9,"AIC","avg","min",2
100,"matern",2,1.5,0.9,"AIC","avg","min",2
100,"matern",1,0.5,1,"AIC","avg","min",2
100,"matern",2,0.5,1,"AIC","avg","min",2
100,"matern",1,1,1,"AIC","avg","min",2
100,"matern",2,1,1,"AIC","avg","min",2
100,"matern",1,1.5,1,"AIC","avg","min",2
100,"matern",2,1.5,1,"AIC","avg","min",2
100,"matern",1,0.5,0,"BIC","avg","min",2
100,"matern",2,0.5,0,"BIC","avg","min",2
100,"matern",1,1,0,"BIC","avg","min",2
100,"matern",2,1,0,"BIC","avg","min",2
100,"matern",1,1.5,0,"BIC","avg","min",2
100,"matern",2,1.5,0,"BIC","avg","min",2
100,"matern",1,0.5,0.05,"BIC","avg","min",2
100,"matern",2,0.5,0.05,"BIC","avg","min",2
100,"matern",1,1,0.05,"BIC","avg","min",2
100,"matern",2,1,0.05,"BIC","avg","min",2
100,"matern",1,1.5,0.05,"BIC","avg","min",2
100,"matern",2,1.5,0.05,"BIC","avg","min",2
100,"matern",1,0.5,0.1,"BIC","avg","min",2
100,"matern",2,0.5,0.1,"BIC","avg","min",2
100,"matern",1,1,0.1,"BIC","avg","min",2
100,"matern",2,1,0.1,"BIC","avg","min",2
100,"matern",1,1.5,0.1,"BIC","avg","min",2
100,"matern",2,1.5,0.1,"BIC","avg","min",2
100,"matern",1,0.5,0.15,"BIC","avg","min",2
100,"matern",2,0.5,0.15,"BIC","avg","min",2
100,"matern",1,1,0.15,"BIC","avg","min",2
100,"matern",2,1,0.15,"BIC","avg","min",2
100,"matern",1,1.5,0.15,"BIC","avg","min",2
100,"matern",2,1.5,0.15,"BIC","avg","min",2
100,"matern",1,0.5,0.2,"BIC","avg","min",2
100,"matern",2,0.5,0.2,"BIC","avg","min",2
100,"matern",1,1,0.2,"BIC","avg","min",2
100,"matern",2,1,0.2,"BIC","avg","min",2
100,"matern",1,1.5,0.2,"BIC","avg","min",2
100,"matern",2,1.5,0.2,"BIC","avg","min",2
100,"matern",1,0.5,0.25,"BIC","avg","min",2
100,"matern",2,0.5,0.25,"BIC","avg","min",2
100,"matern",1,1,0.25,"BIC","avg","min",2
100,"matern",2,1,0.25,"BIC","avg","min",2
100,"matern",1,1.5,0.25,"BIC","avg","min",2
100,"matern",2,1.5,0.25,"BIC","avg","min",2
100,"matern",1,0.5,0.3,"BIC","avg","min",2
100,"matern",2,0.5,0.3,"BIC","avg","min",2
100,"matern",1,1,0.3,"BIC","avg","min",2
100,"matern",2,1,0.3,"BIC","avg","min",2
100,"matern",1,1.5,0.3,"BIC","avg","min",2
100,"matern",2,1.5,0.3,"BIC","avg","min",2
100,"matern",1,0.5,0.4,"BIC","avg","min",2
100,"matern",2,0.5,0.4,"BIC","avg","min",2
100,"matern",1,1,0.4,"BIC","avg","min",2
100,"matern",2,1,0.4,"BIC","avg","min",2
100,"matern",1,1.5,0.4,"BIC","avg","min",2
100,"matern",2,1.5,0.4,"BIC","avg","min",2
100,"matern",1,0.5,0.5,"BIC","avg","min",2
100,"matern",2,0.5,0.5,"BIC","avg","min",2
100,"matern",1,1,0.5,"BIC","avg","min",2
100,"matern",2,1,0.5,"BIC","avg","min",2
100,"matern",1,1.5,0.5,"BIC","avg","min",2
100,"matern",2,1.5,0.5,"BIC","avg","min",2
100,"matern",1,0.5,0.6,"BIC","avg","min",2
100,"matern",2,0.5,0.6,"BIC","avg","min",2
100,"matern",1,1,0.6,"BIC","avg","min",2
100,"matern",2,1,0.6,"BIC","avg","min",2
100,"matern",1,1.5,0.6,"BIC","avg","min",2
100,"matern",2,1.5,0.6,"BIC","avg","min",2
100,"matern",1,0.5,0.7,"BIC","avg","min",2
100,"matern",2,0.5,0.7,"BIC","avg","min",2
100,"matern",1,1,0.7,"BIC","avg","min",2
100,"matern",2,1,0.7,"BIC","avg","min",2
100,"matern",1,1.5,0.7,"BIC","avg","min",2
100,"matern",2,1.5,0.7,"BIC","avg","min",2
100,"matern",1,0.5,0.8,"BIC","avg","min",2
100,"matern",2,0.5,0.8,"BIC","avg","min",2
100,"matern",1,1,0.8,"BIC","avg","min",2
100,"matern",2,1,0.8,"BIC","avg","min",2
100,"matern",1,1.5,0.8,"BIC","avg","min",2
100,"matern",2,1.5,0.8,"BIC","avg","min",2
100,"matern",1,0.5,0.9,"BIC","avg","min",2
100,"matern",2,0.5,0.9,"BIC","avg","min",2
100,"matern",1,1,0.9,"BIC","avg","min",2
100,"matern",2,1,0.9,"BIC","avg","min",2
100,"matern",1,1.5,0.9,"BIC","avg","min",2
100,"matern",2,1.5,0.9,"BIC","avg","min",2
100,"matern",1,0.5,1,"BIC","avg","min",2
100,"matern",2,0.5,1,"BIC","avg","min",2
100,"matern",1,1,1,"BIC","avg","min",2
100,"matern",2,1,1,"BIC","avg","min",2
100,"matern",1,1.5,1,"BIC","avg","min",2
100,"matern",2,1.5,1,"BIC","avg","min",2
100,"matern",1,0.5,0,"GCV","avg","min",2
100,"matern",2,0.5,0,"GCV","avg","min",2
100,"matern",1,1,0,"GCV","avg","min",2
100,"matern",2,1,0,"GCV","avg","min",2
100,"matern",1,1.5,0,"GCV","avg","min",2
100,"matern",2,1.5,0,"GCV","avg","min",2
100,"matern",1,0.5,0.05,"GCV","avg","min",2
100,"matern",2,0.5,0.05,"GCV","avg","min",2
100,"matern",1,1,0.05,"GCV","avg","min",2
100,"matern",2,1,0.05,"GCV","avg","min",2
100,"matern",1,1.5,0.05,"GCV","avg","min",2
100,"matern",2,1.5,0.05,"GCV","avg","min",2
100,"matern",1,0.5,0.1,"GCV","avg","min",2
100,"matern",2,0.5,0.1,"GCV","avg","min",2
100,"matern",1,1,0.1,"GCV","avg","min",2
100,"matern",2,1,0.1,"GCV","avg","min",2
100,"matern",1,1.5,0.1,"GCV","avg","min",2
100,"matern",2,1.5,0.1,"GCV","avg","min",2
